4.042681884765625000e+01,5.130752563476562500e+01,1.776999969482421875e+02,5.945050048828125000e+01,2.504406738281250000e+01,1.689671173095703125e+02,1.035030517578125000e+02,3.078115081787109375e+01,9.235301208496093750e+01,1.069432449340820312e+02,5.334059524536132812e+01,1.567065277099609375e+02,3.933038711547851562e+01,8.715201568603515625e+01,3.601613998413085938e+01,7.542762756347656250e+01,1.454678039550781250e+02,1.804301452636718750e+02,4.267714691162109375e+01,7.932852172851562500e+01,4.929085254669189453e+00,9.423808288574218750e+01,2.465624809265136719e+01,5.352527236938476562e+01,1.892537536621093750e+02,2.136866760253906250e+01,1.971358642578125000e+02,1.087404403686523438e+02,2.904102706909179688e+01,6.004022598266601562e+01
4.041979217529296875e+01,5.142097473144531250e+01,1.810399932861328125e+02,6.020999908447265625e+01,2.496030235290527344e+01,1.709948272705078125e+02,1.043754043579101562e+02,3.102670478820800781e+01,9.302619171142578125e+01,1.074023742675781250e+02,5.425064086914062500e+01,1.575232238769531250e+02,3.799558258056640625e+01,8.724082183837890625e+01,3.593704986572265625e+01,7.583737182617187500e+01,1.472968292236328125e+02,1.836624145507812500e+02,4.261641693115234375e+01,7.969770812988281250e+01,5.253486633300781250e+00,9.399064636230468750e+01,2.483893013000488281e+01,5.413277435302734375e+01,1.927253875732421875e+02,2.114999961853027344e+01,1.992037963867187500e+02,1.098229980468750000e+02,2.929435348510742188e+01,6.121942901611328125e+01
4.060754013061523438e+01,5.133370590209960938e+01,1.832200012207031250e+02,6.047949981689453125e+01,2.528697204589843750e+01,1.696669311523437500e+02,1.057533340454101562e+02,3.111449432373046875e+01,9.273667907714843750e+01,1.073545684814453125e+02,5.446137619018554688e+01,1.587733459472656250e+02,3.729878997802734375e+01,8.849059295654296875e+01,3.644320297241210938e+01,7.617585754394531250e+01,1.492024536132812500e+02,1.833242797851562500e+02,4.330720520019531250e+01,8.039916229248046875e+01,5.281180381774902344e+00,9.445360565185546875e+01,2.489307212829589844e+01,5.420665740966796875e+01,1.951379241943359375e+02,2.097466659545898438e+01,2.000684661865234375e+02,1.102313156127929688e+02,2.932086944580078125e+01,6.130415725708007812e+01
4.106985473632812500e+01,5.148207092285156250e+01,1.853399963378906250e+02,6.145700073242187500e+01,2.540423393249511719e+01,1.684556732177734375e+02,1.071609878540039062e+02,3.154541397094726562e+01,9.258464813232421875e+01,1.067710571289062500e+02,5.518354415893554688e+01,1.604318237304687500e+02,3.755905151367187500e+01,8.792250061035156250e+01,3.643529510498046875e+01,7.711111450195312500e+01,1.522953948974609375e+02,1.858305206298828125e+02,4.326165390014648438e+01,8.139597320556640625e+01,5.325934886932373047e+00,9.472501373291015625e+01,2.494042778015136719e+01,5.456787490844726562e+01,1.984820556640625000e+02,2.110533332824707031e+01,2.038835601806640625e+02,1.128712692260742188e+02,2.949465560913085938e+01,6.125471878051757812e+01
4.091731643676757812e+01,5.133370590209960938e+01,1.850399932861328125e+02,6.234349822998046875e+01,2.522833824157714844e+01,1.691106109619140625e+02,1.079144058227539062e+02,3.187260818481445312e+01,9.304070281982421875e+01,1.052405548095703125e+02,5.537837600708007812e+01,1.600484313964843750e+02,3.755905151367187500e+01,8.805235290527343750e+01,3.637992095947265625e+01,7.671917724609375000e+01,1.527557983398437500e+02,1.872527160644531250e+02,4.301114654541015625e+01,8.147904968261718750e+01,5.489124298095703125e+00,9.418222808837890625e+01,2.466301345825195312e+01,5.440369033813476562e+01,1.988057250976562500e+02,2.242733383178710938e+01,2.003448028564453125e+02,1.133270721435546875e+02,2.993062019348144531e+01,6.153011703491210938e+01
4.091261672973632812e+01,5.142097473144531250e+01,1.866999969482421875e+02,6.263499832153320312e+01,2.535397529602050781e+01,1.671456604003906250e+02,1.082018737792968750e+02,3.167310333251953125e+01,9.254120635986328125e+01,1.051640319824218750e+02,5.530780029296875000e+01,1.609318695068359375e+02,3.661882019042968750e+01,8.849871063232421875e+01,3.656184005737304688e+01,7.665682220458984375e+01,1.529763946533203125e+02,1.868449401855468750e+02,4.311743164062500000e+01,8.142364501953125000e+01,5.487642288208007812e+00,9.425403594970703125e+01,2.463594818115234375e+01,5.358274459838867188e+01,2.021204986572265625e+02,2.224600028991699219e+01,2.013431396484375000e+02,1.131086730957031250e+02,2.957124519348144531e+01,6.126884841918945312e+01
4.090322875976562500e+01,5.134244537353515625e+01,1.871100006103515625e+02,6.271649932861328125e+01,2.558849906921386719e+01,1.663650817871093750e+02,1.078549194335937500e+02,3.184866333007812500e+01,9.313481903076171875e+01,1.047144470214843750e+02,5.517609024047851562e+01,1.598484649658203125e+02,3.567858505249023438e+01,8.947256469726562500e+01,3.643529510498046875e+01,7.669245910644531250e+01,1.533216705322265625e+02,1.868151092529296875e+02,4.349697113037109375e+01,8.105446624755859375e+01,5.530663967132568359e+00,9.377513122558593750e+01,2.467654800415039062e+01,5.357454299926757812e+01,2.023068237304687500e+02,2.231999969482421875e+01,1.998456115722656250e+02,1.129852142333984375e+02,2.935915374755859375e+01,6.078164291381835938e+01
4.113557815551757812e+01,5.169319152832031250e+01,1.889199981689453125e+02,6.383399963378906250e+01,2.568063545227050781e+01,1.699181365966796875e+02,1.081523056030273438e+02,3.200027847290039062e+01,9.596517944335937500e+01,1.061684265136718750e+02,5.527102661132812500e+01,1.622486724853515625e+02,3.644251251220703125e+01,8.995138549804687500e+01,3.641156768798828125e+01,7.695075225830078125e+01,1.543383331298828125e+02,1.867454986572265625e+02,4.372471618652343750e+01,8.129443359375000000e+01,5.540553569793701172e+00,9.329620361328125000e+01,2.473744392395019531e+01,5.371409988403320312e+01,2.046310729980468750e+02,2.253000068664550781e+01,2.009063262939453125e+02,1.138018875122070312e+02,2.946226119995117188e+01,6.138182067871093750e+01
4.156035995483398438e+01,5.159673690795898438e+01,1.950500030517578125e+02,6.526000213623046875e+01,2.612455940246582031e+01,1.721253509521484375e+02,1.092824096679687500e+02,3.261476135253906250e+01,9.671081542968750000e+01,1.075841293334960938e+02,5.619548034667968750e+01,1.636987915039062500e+02,3.629980087280273438e+01,9.143648529052734375e+01,3.649856567382812500e+01,7.747631835937500000e+01,1.556906738281250000e+02,1.783913116455078125e+02,4.452936553955078125e+01,8.269733428955078125e+01,5.513356208801269531e+00,9.369528961181640625e+01,2.472391128540039062e+01,5.367305374145507812e+01,2.061119232177734375e+02,2.241466712951660156e+01,2.038033294677734375e+02,1.140392837524414062e+02,2.971263313293457031e+01,6.179841995239257812e+01
4.134914016723632812e+01,5.124596786499023438e+01,1.924600067138671875e+02,6.524299621582031250e+01,2.616643905639648438e+01,1.718471984863281250e+02,1.079441299438476562e+02,3.235140228271484375e+01,9.555979919433593750e+01,1.058814544677734375e+02,5.619795989990234375e+01,1.636071472167968750e+02,3.621585845947265625e+01,9.111188507080078125e+01,3.679909515380859375e+01,7.597095489501953125e+01,1.556523284912109375e+02,1.774166870117187500e+02,4.711793518066406250e+01,8.154363250732421875e+01,5.442392826080322266e+00,9.407843017578125000e+01,2.476450920104980469e+01,5.602913665771484375e+01,2.039935913085937500e+02,2.267066764831542969e+01,2.076005554199218750e+02,1.143241729736328125e+02,2.965960121154785156e+01,6.141007232666015625e+01
4.203206634521484375e+01,5.172827148437500000e+01,1.964900054931640625e+02,6.475000000000000000e+01,2.611618232727050781e+01,1.725290832519531250e+02,1.090841522216796875e+02,3.287809753417968750e+01,9.581317138671875000e+01,1.071058425903320312e+02,5.661545944213867188e+01,1.665324249267578125e+02,3.726522064208984375e+01,9.169617462158203125e+01,3.702846145629882812e+01,7.679043579101562500e+01,1.575992889404296875e+02,1.766309814453125000e+02,4.708756637573242188e+01,8.319574737548828125e+01,5.556377410888671875e+00,9.513211059570312500e+01,2.515695762634277344e+01,5.584032440185546875e+01,2.073965911865234375e+02,2.314399909973144531e+01,2.125298156738281250e+02,1.158340682983398438e+02,3.025168609619140625e+01,6.213734054565429688e+01
4.206962585449218750e+01,5.179841995239257812e+01,1.961999969482421875e+02,6.466600036621093750e+01,2.636746597290039062e+01,1.718292846679687500e+02,1.107991104125976562e+02,3.295790481567382812e+01,9.525577545166015625e+01,1.056231842041015625e+02,5.645988845825195312e+01,1.652906494140625000e+02,3.734077835083007812e+01,9.191531372070312500e+01,3.707590484619140625e+01,7.644305419921875000e+01,1.587118988037109375e+02,1.788189849853515625e+02,4.640437316894531250e+01,8.315882110595703125e+01,5.549454689025878906e+00,9.502834320068359375e+01,2.502839660644531250e+01,5.586496734619140625e+01,2.083086090087890625e+02,2.297133255004882812e+01,2.167460174560546875e+02,1.169071273803710938e+02,3.072298240661621094e+01,6.173488235473632812e+01
4.188187026977539062e+01,5.200886917114257812e+01,1.957299957275390625e+02,6.472899627685546875e+01,2.656848526000976562e+01,1.725290832519531250e+02,1.109577331542968750e+02,3.294992828369140625e+01,9.504586791992187500e+01,1.057857894897460938e+02,5.683414459228515625e+01,1.677908782958984375e+02,3.762620544433593750e+01,9.171241760253906250e+01,3.729734802246093750e+01,7.614909362792968750e+01,1.600066528320312500e+02,1.803008422851562500e+02,4.651824569702148438e+01,8.306654357910156250e+01,5.689650058746337891e+00,9.592234802246093750e+01,2.499456405639648438e+01,5.585675430297851562e+01,2.093873443603515625e+02,2.333466720581054688e+01,2.169153747558593750e+02,1.165177688598632812e+02,3.080841064453125000e+01,6.153716278076171875e+01
4.153922653198242188e+01,5.223687362670898438e+01,1.978399963378906250e+02,6.636550140380859375e+01,2.675276184082031250e+01,1.744043426513671875e+02,1.119093856811523438e+02,3.324517822265625000e+01,9.595792388916015625e+01,1.062736358642578125e+02,5.786098861694335938e+01,1.703994598388671875e+02,3.840694046020507812e+01,9.278366088867187500e+01,3.747133636474609375e+01,7.610456848144531250e+01,1.613973541259765625e+02,1.843585968017578125e+02,4.649546051025390625e+01,8.455248260498046875e+01,5.778170585632324219e+00,9.699196624755859375e+01,2.498779487609863281e+01,5.637392807006835938e+01,2.111623687744140625e+02,2.343733215332031250e+01,2.171025695800781250e+02,1.180656433105468750e+02,3.106172943115234375e+01,6.231389236450195312e+01
4.154861450195312500e+01,5.193872070312500000e+01,2.000899963378906250e+02,6.812699890136718750e+01,2.673600387573242188e+01,1.735429687500000000e+02,1.122563552856445312e+02,3.359630966186523438e+01,9.484316253662109375e+01,1.056136322021484375e+02,5.845790863037109375e+01,1.707661132812500000e+02,3.866718292236328125e+01,9.268625640869140625e+01,3.752669906616210938e+01,7.519599914550781250e+01,1.603519439697265625e+02,1.883168945312500000e+02,4.683706283569335938e+01,8.482015228271484375e+01,5.907236576080322266e+00,9.682432556152343750e+01,2.491336441040039062e+01,5.610301971435546875e+01,2.104073181152343750e+02,2.351933288574218750e+01,2.185733642578125000e+02,1.183695373535156250e+02,3.119428634643554688e+01,6.234918594360351562e+01
