step,portfolio_value,prev_prices,curr_prices,returns,action,expert_action,sub_expert_action,real_action,reward
1,0.997092404394846,"[100.0, 100.0, 100.0, 100.0, 100.0]","[99.7092404394846, 99.1805961351822, 99.90045200572122, 100.09069477622654, 102.0289188694338]","[-0.002907595605153972, -0.008194038648178009, -0.0009954799427877958, 0.0009069477622654176, 0.02028918869433795]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19134995371881808, 0.2020373605767459, 0.20719387049239188, 0.19489149979572495, 0.20452731541631924]","[1.0, 0.0, 0.0, 0.0, 0.0]",-0.002911830872878352
2,1.0210242150537423,"[99.7092404394846, 99.1805961351822, 99.90045200572122, 100.09069477622654, 102.0289188694338]","[101.07388910604705, 100.26173907480978, 102.29822245467984, 102.07021093484354, 101.17744344978006]","[0.01368628083563304, 0.010900750567721888, 0.024001597598590507, 0.019777224676505847, -0.008345432148931908]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20826272551135042, 0.18194487818553198, 0.20210527134948642, 0.1942496769146914, 0.21343744803893977]","[0.0, 0.0, 1.0, 0.0, 0.0]",0.023718086770972587
3,1.0163959655851662,"[101.07388910604705, 100.26173907480978, 102.29822245467984, 102.07021093484354, 101.17744344978006]","[103.40978995723962, 101.19283750930381, 102.61034790517698, 101.60753199682074, 101.78173068502394]","[0.023110823891833644, 0.009286677481220407, 0.003051132688404361, -0.004532947799217889, 0.005972548965855505]","[0.0, 0.0, 0.0, 1.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19386836430489127, 0.21949990501966615, 0.18681387021661708, 0.20848955652261736, 0.19132830393620814]","[0.0, 0.0, 0.0, 1.0, 0.0]",-0.005477135736534099
4,1.0107576333674708,"[103.40978995723962, 101.19283750930381, 102.61034790517698, 101.60753199682074, 101.78173068502394]","[103.39738266607029, 99.35574859796542, 102.26383172682758, 101.9061289864326, 100.86322310764997]","[-0.00011998178484328597, -0.01815433736769654, -0.003377010071826501, 0.0029387288889293076, -0.009024287278199336]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19781225369672156, 0.18891964110037943, 0.20015278473090278, 0.2169191446449445, 0.19619617582705176]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]",-0.005976334559293751
5,1.0166028398740499,"[103.39738266607029, 99.35574859796542, 102.26383172682758, 101.9061289864326, 100.86322310764997]","[106.30843072741104, 100.14475049576646, 103.41316115482432, 102.21499303568893, 100.81893354687176]","[0.02815398210554518, 0.007941180142416038, 0.01123886528197863, 0.003030868234602941, -0.00043910515065477237]","[0.0, 0.23754088580608368, 0.27413544058799744, 0.2968594431877136, 0.19146426022052765]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20443941076059433, 0.19242870197293002, 0.19261005059559844, 0.21622418180959294, 0.19429765486128417]","[0.0, 0.23754088580608368, 0.27413544058799744, 0.2968594431877136, 0.19146426022052765]",0.005074671048070116
6,1.008913665231436,"[106.30843072741104, 100.14475049576646, 103.41316115482432, 102.21499303568893, 100.81893354687176]","[106.4261303911355, 99.27855094863598, 104.02828681140868, 99.7778990371234, 102.49850358274757]","[0.0011071526775356436, -0.008649475312908146, 0.005948233761691344, -0.023842823114164913, 0.016659271991753048]","[0.0, 0.4206121563911438, 0.0, 0.3352346122264862, 0.24415332078933716]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2159441199877688, 0.18724069403925542, 0.2140105591717624, 0.1850297975431485, 0.19777482925806478]","[0.0, 0.4206121563911438, 0.0, 0.3352346122264862, 0.24415332078933716]",-0.00818893278139712
7,1.0016211521554625,"[106.4261303911355, 99.27855094863598, 104.02828681140868, 99.7778990371234, 102.49850358274757]","[105.49411767876177, 100.10120871062671, 102.60171588157488, 99.13234820462105, 102.43522473574711]","[-0.008757367283282934, 0.008286359481781183, -0.013713298311064279, -0.006469877986328091, -0.0006173636178929766]","[0.0, 0.2947870194911957, 0.7052129507064819, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20539364176427058, 0.19042393931929957, 0.19789457905285698, 0.19113837804203457, 0.21514946182153832]","[0.0, 0.2947870194911957, 0.7052129507064819, 0.0, 0.0]",-0.008155823075163797
8,1.0077722789574983,"[105.49411767876177, 100.10120871062671, 102.60171588157488, 99.13234820462105, 102.43522473574711]","[104.91239775510292, 100.1121791541332, 102.42498014070732, 100.52068522450163, 103.62989622971988]","[-0.005514240380968321, 0.00010959351687957692, -0.0017225417659832193, 0.014004883824752004, 0.011662701937294183]","[0.0, 0.0, 0.5, 0.5, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1925369791842251, 0.2021464666518957, 0.19709467852281407, 0.19891648148393135, 0.20930539415713384]","[0.0, 0.0, 0.5, 0.5, 0.0]",0.005127382697561774
9,1.019025897391455,"[104.91239775510292, 100.1121791541332, 102.42498014070732, 100.52068522450163, 103.62989622971988]","[103.96264901807812, 99.27572803658164, 102.72052427439384, 101.74849632958271, 105.55005786261604]","[-0.009052778864532198, -0.008355138451873646, 0.0028854692798623203, 0.012214511892143351, 0.018529031705673823]","[0.12009043991565704, 0.0, 0.25888559222221375, 0.0, 0.621023952960968]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2069802835591228, 0.18080161170682393, 0.22045009174373795, 0.20117494156551596, 0.19059307142479937]","[0.12009043991565704, 0.0, 0.25888559222221375, 0.0, 0.621023952960968]",0.010455409679791172
10,1.0117176401100145,"[103.96264901807812, 99.27572803658164, 102.72052427439384, 101.74849632958271, 105.55005786261604]","[103.96741047536995, 96.0046350063378, 103.74071030792425, 100.68309476426596, 106.75240652991717]","[4.579969187773077e-05, -0.032949574835034176, 0.009931666925737444, -0.010470931795057783, 0.011391264880840715]","[0.31370246410369873, 0.0, 0.0, 0.6862975358963013, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20699596820739785, 0.21485370342125554, 0.18940165024015104, 0.1855535315152346, 0.20319514661596094]","[0.31370246410369873, 0.0, 0.0, 0.6862975358963013, 0.0]",-0.008135255950128558
11,1.0238423371868053,"[103.96741047536995, 96.0046350063378, 103.74071030792425, 100.68309476426596, 106.75240652991717]","[103.82071477067744, 98.09992051866669, 103.58069723901183, 102.85221554309952, 109.08866315321764]","[-0.0014109777671846224, 0.021824837021572747, -0.0015424327483151746, 0.021544041568370767, 0.02188481458397605]","[0.0, 0.0, 0.41959327459335327, 0.20726530253887177, 0.37314146757125854]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18821378607866732, 0.19776636877299889, 0.19880238747808804, 0.2167475037230218, 0.19846995394722403]","[0.0, 0.0, 0.41959327459335327, 0.20726530253887177, 0.37314146757125854]",0.01135288140656018
12,1.0325399955941872,"[103.82071477067744, 98.09992051866669, 103.58069723901183, 102.85221554309952, 109.08866315321764]","[102.64379271853454, 98.62743765153886, 102.63788119589297, 103.91042603483525, 110.75204579257986]","[-0.011336100456855095, 0.005377345160761729, -0.009102236886312039, 0.01028865043060059, 0.015247988116106666]","[0.0, 0.6841371059417725, 0.0, 0.0, 0.31586289405822754]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20020589054159138, 0.19688266606936433, 0.1987538791424904, 0.2074363029210484, 0.19672126132550544]","[0.0, 0.6841371059417725, 0.0, 0.0, 0.31586289405822754]",0.007409252977147325
13,1.0522841312286744,"[102.64379271853454, 98.62743765153886, 102.63788119589297, 103.91042603483525, 110.75204579257986]","[103.26337978804627, 97.39931608855584, 104.09845781478388, 106.19732159243493, 110.53389656671712]","[0.006036283861906087, -0.012452128862174268, 0.014230385525040983, 0.02200833587991461, -0.001969708318267122]","[0.0, 0.0, 0.3711037337779999, 0.6288962364196777, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1785247146820904, 0.20593688824708037, 0.19647250763714205, 0.21447668149200438, 0.2045892079416827]","[0.0, 0.0, 0.3711037337779999, 0.6288962364196777, 0.0]",0.018044251901133092
14,1.0761028136379245,"[103.26337978804627, 97.39931608855584, 104.09845781478388, 106.19732159243493, 110.53389656671712]","[104.97691226885671, 98.37560387369795, 102.71335244666511, 109.48255359308556, 109.38271441976224]","[0.016593805900286838, 0.010023558936024508, -0.01330572418837565, 0.030935168151026607, -0.01041474319382235]","[0.0, 0.3969062566757202, 0.0, 0.6030937433242798, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19467158553729738, 0.1931334474431973, 0.2127207861146124, 0.19269637961561772, 0.20677780128927523]","[0.0, 0.3969062566757202, 0.0, 0.6030937433242798, 0.0]",0.02125244877493496
15,1.0718927947092425,"[104.97691226885671, 98.37560387369795, 102.71335244666511, 109.48255359308556, 109.38271441976224]","[105.27530162760239, 98.1571940904396, 101.50963658510804, 109.28612042319503, 109.15127844594701]","[0.0028424284187505396, -0.002220162059068657, -0.01171917606507988, -0.0017941960928369448, -0.0021158368124516917]","[0.27972835302352905, 0.0, 0.3440895974636078, 0.37618207931518555, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19899674002293274, 0.18408419536836668, 0.20151161187193142, 0.20081504317290785, 0.21459240956386136]","[0.27972835302352905, 0.0, 0.3440895974636078, 0.37618207931518555, 0.0]",-0.004722754247824106
16,1.0773065183630515,"[105.27530162760239, 98.1571940904396, 101.50963658510804, 109.28612042319503, 109.15127844594701]","[106.29862364223756, 98.11967303802278, 99.95287902634622, 112.21870978765955, 110.76643371101365]","[0.009720437736241665, -0.00038225473705218237, -0.015336056862508761, 0.026834051324253087, 0.014797401258717065]","[0.5248516798019409, 0.4703548550605774, 0.0, 0.004793430212885141, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20153317675110094, 0.19956901974763075, 0.1945381970472138, 0.20747253718993158, 0.19688706926412303]","[0.5248517394065857, 0.4703548848628998, 0.0, 0.004793430678546429, 0.0]",0.004048690315476821
17,1.0832453407870513,"[106.29862364223756, 98.11967303802278, 99.95287902634622, 112.21870978765955, 110.76643371101365]","[107.03499900729312, 97.6195658588379, 101.51343511540554, 112.3199180666826, 112.77586965107025]","[0.006927421445586505, -0.005096910371797523, 0.01561291784949963, 0.0009018841796930437, 0.01814119921292369]","[0.0, 0.3046453893184662, 0.07298192381858826, 0.3111863434314728, 0.3111863434314728]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20230376325809163, 0.19455401206224354, 0.20548139274463534, 0.18881423944850803, 0.2088465924865215]","[0.0, 0.3046453893184662, 0.07298192381858826, 0.3111863434314728, 0.3111863434314728]",0.00477011506171511
