step,portfolio_value,prev_prices,curr_prices,returns,action,expert_action,sub_expert_action,real_action,reward
1,1.0229785939119933,"[100.0, 100.0, 100.0, 100.0, 100.0]","[100.10833666366261, 103.00200228448644, 101.62439574622594, 102.09220388288638, 99.31020817808599]","[0.001083366636626124, 0.03002002284486437, 0.016243957462259432, 0.020922038828863804, -0.006897918219140138]","[0.0, 0.4888650178909302, 0.5111349821090698, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19683920080078013, 0.20586600076045922, 0.20168000928025984, 0.20632056207605898, 0.1892942270824419]","[0.0, 0.4888650178909302, 0.5111349821090698, 0.0, 0.0]",0.022718561933351325
2,1.0296547845631219,"[100.10833666366261, 103.00200228448644, 101.62439574622594, 102.09220388288638, 99.31020817808599]","[100.08113133644963, 104.10173661745259, 100.75451534808494, 101.71731968528387, 99.88142659150013]","[-0.0002717588576502382, 0.010676824805101735, -0.008559759610411378, -0.0036720159164411316, 0.005751859993987911]","[0.0, 0.7842341661453247, 0.2157658338546753, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18773221119929895, 0.1936416186093524, 0.20612166554475694, 0.20413516751806055, 0.20836933712853112]","[0.0, 0.7842341661453247, 0.2157658338546753, 0.0, 0.0]",0.006505023510991458
3,1.0282292452739021,"[100.08113133644963, 104.10173661745259, 100.75451534808494, 101.71731968528387, 99.88142659150013]","[99.94257073636442, 104.95654330622182, 100.75041560884858, 101.63130483327537, 99.49322584655003]","[-0.0013844827514929345, 0.008211262525911813, -4.069037722218701e-05, -0.0008456264112604974, -0.0038866159424992956]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19568722723214593, 0.20212136203908154, 0.19096981752463768, 0.2066095323805936, 0.20461206082354114]","[1.0, 0.0, 0.0, 0.0, 0.0]",-0.00145317083370931
4,1.023280751837232,"[99.94257073636442, 104.95654330622182, 100.75041560884858, 101.63130483327537, 99.49322584655003]","[100.8339992056958, 106.33433032712823, 98.85481339331935, 101.86889841207953, 99.10020478106196]","[0.008919407043099386, 0.013127214154591307, -0.01881483271382905, 0.0023377991573948066, -0.003950229396463972]","[0.0, 0.4383625090122223, 0.5616374611854553, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20517242289118515, 0.19170528313314844, 0.20847905954252888, 0.1981820315300406, 0.19646120290309696]","[0.0, 0.4383625090122223, 0.5616374611854553, 0.0, 0.0]",-0.005793844133351152
5,1.0374445870299223,"[100.8339992056958, 106.33433032712823, 98.85481339331935, 101.86889841207953, 99.10020478106196]","[101.25636066907194, 106.23920168175881, 100.2231214381968, 103.16014864919654, 97.92644763518501]","[0.004188681066933983, -0.0008946183709133153, 0.013841592512377578, 0.012675608132068469, -0.011844144504747309]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19546791778153097, 0.2024413329936624, 0.19454811170082933, 0.19542985231045154, 0.2121127852135257]","[0.0, 0.0, 1.0, 0.0, 0.0]",0.012461025310551991
6,1.0430195945314285,"[101.25636066907194, 106.23920168175881, 100.2231214381968, 103.16014864919654, 97.92644763518501]","[101.04141956596317, 108.05894121224188, 101.28788071630788, 103.57784986754686, 97.29389515997391]","[-0.0021227417387757568, 0.017128701097868942, 0.01062388860805611, 0.004049055995166694, -0.006459465144366403]","[0.0, 0.10128195583820343, 0.0, 0.898717999458313, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1960611742853941, 0.19641263462267416, 0.20101498087178477, 0.2036964195329567, 0.2028147906871904]","[0.0, 0.10128196328878403, 0.0, 0.8987180590629578, 0.0]",0.004491064313695222
7,1.0405878384372182,"[101.04141956596317, 108.05894121224188, 101.28788071630788, 103.57784986754686, 97.29389515997391]","[99.9981786286929, 107.06207471540142, 102.21109093835484, 105.49798581758208, 100.32118375785626]","[-0.010324884010454815, -0.009225210664265883, 0.009114715556471503, 0.01853809431737235, 0.03111488745418997]","[0.23329247534275055, 0.37683144211769104, 0.3898760676383972, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2063947561529757, 0.17754515580340285, 0.20509550518838682, 0.1848561528375625, 0.22610843001767214]","[0.23329247534275055, 0.37683144211769104, 0.3898760676383972, 0.0, 0.0]",-0.002957852536152346
8,1.0375211713832346,"[99.9981786286929, 107.06207471540142, 102.21109093835484, 105.49798581758208, 100.32118375785626]","[100.14560184439229, 107.29697751377867, 101.31708113883685, 104.68846515640232, 98.90604498592222]","[0.0014742590087244837, 0.002194080387491844, -0.008746700493170355, -0.007673328120022247, -0.014106081277407355]","[0.5166690945625305, 0.0, 0.0, 0.4833309054374695, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2015110690663183, 0.19647007497073501, 0.20449104256795958, 0.20141620325612353, 0.1961116101388636]","[0.5166690945625305, 0.0, 0.0, 0.4833309054374695, 0.0]",-0.0033914885861841037
9,1.045635980529807,"[100.14560184439229, 107.29697751377867, 101.31708113883685, 104.68846515640232, 98.90604498592222]","[101.78136860277736, 107.90126132230266, 101.61115183744464, 102.17714856533917, 99.67962310715998]","[0.016333885145817514, 0.005631880995402579, 0.0029024789828361887, -0.023988474635780518, 0.007821343188354856]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20952571047528556, 0.1991113169832593, 0.1936026787647882, 0.1945363850718277, 0.2032239087048392]","[0.0, 0.0, 0.0, 0.0, 1.0]",0.006458086588388462
10,1.050496733372014,"[101.78136860277736, 107.90126132230266, 101.61115183744464, 102.17714856533917, 99.67962310715998]","[103.11446936730582, 106.60968849687308, 103.63755589031315, 101.8831939696286, 97.4011765163751]","[0.01309768951654749, -0.011969951134969922, 0.019942732822380682, -0.002876911323499935, -0.02285769668626707]","[0.0, 0.0, 0.32978254556655884, 0.6702174544334412, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18879564177448868, 0.189611408831934, 0.2143665369278381, 0.20169920375337638, 0.20552720871236285]","[0.0, 0.0, 0.32978254556655884, 0.6702174544334412, 0.0]",0.003525806077219382
11,1.051483943523099,"[103.11446936730582, 106.60968849687308, 103.63755589031315, 101.8831939696286, 97.4011765163751]","[102.6693541338835, 106.60999165896922, 104.58643976771877, 102.19931716004236, 96.67092798027427]","[-0.004316709731946166, 2.84366365214553e-06, 0.009155791732582835, 0.003102800158659969, -0.007497327673224372]","[0.0, 0.0, 0.27303436398506165, 0.3669964373111725, 0.3599691689014435]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1951385292748671, 0.20253153952667277, 0.20578301847890737, 0.19996624724373763, 0.19658066547581513]","[0.0, 0.0, 0.27303436398506165, 0.3669964373111725, 0.3599691689014435]",9.900979871679415e-05
12,1.0438944320874983,"[102.6693541338835, 106.60999165896922, 104.58643976771877, 102.19931716004236, 96.67092798027427]","[101.75656435738291, 107.220179703859, 102.71799396221365, 102.17513769997034, 97.9606122030648]","[-0.008890576786041595, 0.00572355400647333, -0.017865086617871707, -0.0002365912096472734, 0.013340972821256947]","[0.8067166209220886, 0.0, 0.0, 0.19328337907791138, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19718135522704844, 0.19472857244805306, 0.19418670645300767, 0.2135262280087687, 0.20037713786312222]","[0.8067166209220886, 0.0, 0.0, 0.19328337907791138, 0.0]",-0.007731829223289891
