step,portfolio_value,prev_prices,curr_prices,returns,action,expert_action,sub_expert_action,real_action,reward
1,0.9954000123855341,"[100.0, 100.0, 100.0, 100.0, 100.0]","[99.86685898279934, 99.70689234976562, 99.62334222347695, 99.14372146836583, 101.62932899940505]","[-0.0013314101720065708, -0.0029310765023437568, -0.0037665777652304655, -0.008562785316341746, 0.01629328999405047]","[0.30215024948120117, 0.0, 0.37067532539367676, 0.3271743655204773, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20335917041534854, 0.20729959201513262, 0.19413494289774974, 0.19943032672523936, 0.19577596794652963]","[0.30215027928352356, 0.0, 0.37067535519599915, 0.3271743953227997, 0.0]",-0.004610570174866801
2,0.9958766736291601,"[99.86685898279934, 99.70689234976562, 99.62334222347695, 99.14372146836583, 101.62932899940505]","[100.86553615181123, 99.47852068942196, 100.17319123966038, 98.7460989747062, 100.98773131091514]","[0.010000085906215317, -0.002290430029075172, 0.00551927895522716, -0.0040105665570209234, -0.006313115463880171]","[0.0, 0.6454036831855774, 0.3545963168144226, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2200137083112591, 0.1956503926610521, 0.19210822063924063, 0.19251695385594247, 0.1997107245325058]","[0.0, 0.6454036831855774, 0.3545963168144226, 0.0, 0.0]",0.00047874939336959454
3,0.9909812868074066,"[100.86553615181123, 99.47852068942196, 100.17319123966038, 98.7460989747062, 100.98773131091514]","[101.39142274590093, 99.51697909432654, 100.11169574053707, 96.65793891772816, 100.13762007853802]","[0.0052137391437467205, 0.00038660008852220375, -0.000613891784441458, -0.021146760010366812, -0.00841796544334523]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20941984681502518, 0.18677611108064224, 0.1869646855565917, 0.2009237360380674, 0.21591562050967356]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]",-0.0049597920526333154
4,0.9879426821122332,"[101.39142274590093, 99.51697909432654, 100.11169574053707, 96.65793891772816, 100.13762007853802]","[104.74989976794042, 99.15961226775882, 99.00009677759266, 98.47978848111559, 99.88311999783265]","[0.033123877060648815, -0.0035910136121495317, -0.011103587395276794, 0.018848421389764225, -0.002541503188369816]","[0.0, 0.5, 0.0, 0.0, 0.5]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2166941487301585, 0.17972153893899315, 0.19288774772146985, 0.191749316228609, 0.21894724838076957]","[0.0, 0.5, 0.0, 0.0, 0.5]",-0.0035814602659473755
5,0.9909121024677102,"[104.74989976794042, 99.15961226775882, 99.00009677759266, 98.47978848111559, 99.88311999783265]","[105.01882725527042, 96.83052541842457, 98.88098086340716, 98.77578529734149, 100.24153642499029]","[0.002567329304617732, -0.023488260956941388, -0.0012031898761987866, 0.0030056605603154267, 0.0035883583448876326]","[0.0, 0.0, 0.0, 1.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18404838204160176, 0.19540707320543954, 0.21314529866135298, 0.20120453768462904, 0.20619470840697676]","[0.0, 0.0, 0.0, 1.0, 0.0]",0.0015546515115606857
6,0.9901593308755764,"[105.01882725527042, 96.83052541842457, 98.88098086340716, 98.77578529734149, 100.24153642499029]","[106.64528921338479, 96.71499095371033, 98.80586341029408, 98.69758379436067, 98.16721642769468]","[0.015487336895896799, -0.0011931616007968158, -0.0007596754447333635, -0.0007917072260717589, -0.020693218313226833]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19522844199114223, 0.1988551910165578, 0.1910691871071752, 0.20069850260389224, 0.21414867728123255]","[0.0, 0.0, 1.0, 0.0, 0.0]",-0.0012997934646625888
7,0.9962749907819006,"[106.64528921338479, 96.71499095371033, 98.80586341029408, 98.69758379436067, 98.16721642769468]","[103.21362218978354, 96.18638390588599, 99.80307788766942, 101.09475139089233, 97.16532233142047]","[-0.03217832732147113, -0.0054656164738446705, 0.010092664979145786, 0.024288006903251336, -0.010205994758058168]","[0.0, 0.0, 0.8070697784423828, 0.0, 0.192930206656456]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18975546542488647, 0.2012225692489717, 0.20946594075773076, 0.19527503437541988, 0.20428099019299134]","[0.0, 0.0, 0.8070697784423828, 0.0, 0.192930206656456]",0.005754150298616187
8,0.9935412977889397,"[103.21362218978354, 96.18638390588599, 99.80307788766942, 101.09475139089233, 97.16532233142047]","[103.04019281966707, 96.77615012465911, 100.47223138281684, 101.04835992954791, 95.83949601369879]","[-0.0016802953567269792, 0.006131493822973747, 0.00670473806329474, -0.0004588908989452504, -0.013645056548049381]","[0.0, 0.0, 0.5356881022453308, 0.0, 0.4643119275569916]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19847899931592577, 0.20817630818098318, 0.19291492610113897, 0.19437915227772376, 0.20605061412422834]","[0.0, 0.0, 0.5356881022453308, 0.0, 0.4643119275569916]",-0.0032458381320461128
9,0.9982826118376215,"[103.04019281966707, 96.77615012465911, 100.47223138281684, 101.04835992954791, 95.83949601369879]","[102.20655442404669, 95.33180437802991, 99.32176806825858, 100.9926056232759, 96.41603457992349]","[-0.008090419600430604, -0.014924604303526314, -0.01145056000771794, -0.0005517586461658529, 0.006015667759169884]","[0.0, 0.059384703636169434, 0.0, 0.0, 0.9406152367591858]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.21317530931794054, 0.21811521225442412, 0.19113106179124267, 0.19632338307498262, 0.18125503356141]","[0.0, 0.05938470736145973, 0.0, 0.0, 0.9406152963638306]",0.003783592207921848
10,0.9932893744695771,"[102.20655442404669, 95.33180437802991, 99.32176806825858, 100.9926056232759, 96.41603457992349]","[99.60948358590498, 95.69115319908177, 98.82497772262113, 99.56193159586282, 98.09667213513477]","[-0.025410022407825902, 0.003769453682287253, -0.005001827447292646, -0.01416612650583362, 0.017431100153969956]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1883836139079834, 0.20634902441769945, 0.1986514209085417, 0.22344858690609173, 0.18316735385968363]","[0.0, 0.0, 1.0, 0.0, 0.0]",-0.005717226979766553
11,0.9982027425339771,"[99.60948358590498, 95.69115319908177, 98.82497772262113, 99.56193159586282, 98.09667213513477]","[100.82544892494842, 96.25098469523176, 99.32096958810413, 97.74794702265778, 97.92687237532081]","[0.012207324998274543, 0.005850399722796617, 0.005018891750981627, -0.018219660307197287, -0.0017309431208843101]","[0.37366557121276855, 0.0, 0.2176726907491684, 0.0, 0.40866169333457947]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19483126592922953, 0.19240417702972012, 0.20406473732991645, 0.20556159882474512, 0.20313822088638864]","[0.37366557121276855, 0.0, 0.2176726907491684, 0.0, 0.40866169333457947]",0.004335531401189334
12,0.9990717599959621,"[100.82544892494842, 96.25098469523176, 99.32096958810413, 97.74794702265778, 97.92687237532081]","[100.67495691695557, 97.11731626509403, 99.70571304150386, 96.29657610244979, 96.64265392111251]","[-0.001492599433947221, 0.009000755395962052, 0.003873738395781862, -0.014848096194506954, -0.013114055652531436]","[0.5596286058425903, 0.0, 0.4403713643550873, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.21108101627989678, 0.18834196747395107, 0.21281526794348402, 0.19437638445836464, 0.19338536384430355]","[0.5596286058425903, 0.0, 0.4403713643550873, 0.0, 0.0]",-6.787212551584518e-05
