step,portfolio_value,prev_prices,curr_prices,returns,action,expert_action,sub_expert_action,real_action,reward
1,0.9872551170363961,"[100.0, 100.0, 100.0, 100.0, 100.0]","[100.68621059967806, 99.80252232709879, 98.57569384610592, 99.51089296691946, 98.72551170363961]","[0.006862105996780627, -0.0019747767290121485, -0.014243061538940793, -0.004891070330805433, -0.012744882963603885]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20318304345824126, 0.19064826077469318, 0.1994788714205602, 0.19845471266382633, 0.20823511168267894]","[0.0, 0.0, 0.0, 0.0, 1.0]",-0.012826795707619267
2,0.9877366876761626,"[100.68621059967806, 99.80252232709879, 98.57569384610592, 99.51089296691946, 98.72551170363961]","[99.51984011644426, 98.63732065391152, 97.21642933596898, 101.52441076879327, 100.6262859175028]","[-0.011584212736649908, -0.011675072393144205, -0.013789043293562718, 0.020234144643272108, 0.019253120911330895]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20856153876343111, 0.20370054797608736, 0.2166370733542512, 0.2012156188875864, 0.1698852210186438]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]",0.00048768339779707196
3,0.9923363279240491,"[99.51984011644426, 98.63732065391152, 97.21642933596898, 101.52441076879327, 100.6262859175028]","[99.58167502484203, 99.35174302619386, 97.33670120052481, 102.83165325740782, 99.88465235962583]","[0.0006213324732577937, 0.0072429215184081725, 0.0012371557500860898, 0.012876139627065637, -0.007370177196890534]","[0.20214052498340607, 0.3828641474246979, 0.0, 0.23790425062179565, 0.17709104716777802]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.194852200301391, 0.20611717387565306, 0.18546795746207237, 0.2052388242378631, 0.20832384412302046]","[0.20214052498340607, 0.3828641474246979, 0.0, 0.23790425062179565, 0.17709104716777802]",0.004435697920169395
4,0.9756894172665822,"[99.58167502484203, 99.35174302619386, 97.33670120052481, 102.83165325740782, 99.88465235962583]","[97.14339960709695, 98.18554351980738, 98.44030946359216, 102.69844953330991, 97.3155558414161]","[-0.02448518180816715, -0.011738088038163666, 0.011338048746831714, -0.0012953572161722947, -0.025720633325727847]","[0.0, 0.6397377252578735, 0.0, 0.0, 0.36026230454444885]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19291051250554508, 0.21197439311887623, 0.19470380592980452, 0.2004585526697274, 0.19995273577604672]","[0.0, 0.6397377252578735, 0.0, 0.0, 0.36026230454444885]",-0.017245024510746852
5,0.9595930132327072,"[97.14339960709695, 98.18554351980738, 98.44030946359216, 102.69844953330991, 97.3155558414161]","[97.83028517075611, 98.45006977746316, 97.16599654168894, 104.91645109907435, 95.58772212985711]","[0.007070841317447356, 0.002694146695866791, -0.012945031652653607, 0.021597225428851653, -0.017754959077402148]","[0.0, 0.0, 0.0, 0.0319548174738884, 0.968045175075531]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20570353535639135, 0.20599095142346033, 0.1951093838702784, 0.18905451072302784, 0.20414161862684196]","[0.0, 0.0, 0.0, 0.0319548174738884, 0.968045175075531]",-0.018250681377169432
6,0.942517815277163,"[97.83028517075611, 98.45006977746316, 97.16599654168894, 104.91645109907435, 95.58772212985711]","[97.14893934569317, 99.12550278773698, 96.48311002726918, 103.04954591468301, 94.87252474125427]","[-0.006964569548925522, 0.006860665632848933, -0.007028040042040551, -0.017794208294640013, -0.007482105156049657]","[0.0, 0.0, 0.0, 1.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20297828443101482, 0.19635822544825632, 0.19981452708885838, 0.1938152905102344, 0.207033672521636]","[0.0, 0.0, 0.0, 1.0, 0.0]",-0.019037541730299697
7,0.9441047212879765,"[97.14893934569317, 99.12550278773698, 96.48311002726918, 103.04954591468301, 94.87252474125427]","[96.16437733758153, 99.80019222239764, 96.98485516082657, 104.28259775154099, 93.6319479820623]","[-0.010134562608122658, 0.006806416267117598, 0.005200341628867304, 0.011965621254448345, -0.013076249025472766]","[0.0, 0.05827821418642998, 0.313981831073761, 0.313981831073761, 0.3137580454349518]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19531322754207464, 0.21068260242484213, 0.1948548715583937, 0.19734854616480135, 0.20180075230988814]","[0.0, 0.058278221637010574, 0.3139818608760834, 0.3139818608760834, 0.31375807523727417]",0.0010466893690600399
8,0.9505842297534344,"[96.16437733758153, 99.80019222239764, 96.98485516082657, 104.28259775154099, 93.6319479820623]","[95.39074122999459, 100.94392014375919, 98.52834506126261, 104.54062171737864, 94.20051913105186]","[-0.008044934403007851, 0.011460177539666747, 0.015914751822607025, 0.002474276354837339, 0.006072405426174487]","[0.09175144135951996, 0.3871740400791168, 0.0, 0.0, 0.5210745334625244]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2088567520860034, 0.2030677382890684, 0.1912595200994854, 0.20224699342445596, 0.1945689961009867]","[0.09175144135951996, 0.3871740400791168, 0.0, 0.0, 0.5210745334625244]",0.006122049123915834
9,0.9398547247118524,"[95.39074122999459, 100.94392014375919, 98.52834506126261, 104.54062171737864, 94.20051913105186]","[93.00824891118403, 100.68840298773227, 98.41915971944424, 104.97377148269801, 94.07834567900198]","[-0.024976138020210852, -0.002531278314365215, -0.0011081617350873567, 0.004143363203735039, -0.0012969509422757074]","[0.5299073457717896, 0.0, 0.0, 0.47009265422821045, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20649945951759596, 0.1865485588585386, 0.19873352477401526, 0.20376262524292355, 0.20445583160692685]","[0.5299073457717896, 0.0, 0.0, 0.47009265422821045, 0.0]",-0.01220748562909156
10,0.931720251197168,"[93.00824891118403, 100.68840298773227, 98.41915971944424, 104.97377148269801, 94.07834567900198]","[92.77462758528988, 100.82400396564668, 97.77771626954899, 104.42939327181672, 92.7149046906401]","[-0.0025118344730609803, 0.0013467387890830765, -0.006517465214331856, -0.005185849790783373, -0.014492612285232853]","[0.4872454106807709, 0.0, 0.0, 0.0, 0.5127545595169067]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1999586428743573, 0.19315110183638148, 0.21086649655944897, 0.20181773979982906, 0.1942060189299831]","[0.4872454106807709, 0.0, 0.0, 0.0, 0.5127545595169067]",-0.00950166309875103
11,0.927859053683655,"[92.77462758528988, 100.82400396564668, 97.77771626954899, 104.42939327181672, 92.7149046906401]","[93.01216761996429, 100.35754730192943, 98.22683776790603, 101.47444113203258, 92.38706856482705]","[0.0025603986871953113, -0.004626444550607079, 0.004593290940841034, -0.02829617263113621, -0.003535959260346912]","[0.0, 0.5577338337898254, 0.0, 0.0, 0.4422661364078522]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1964343648689396, 0.1896148987730228, 0.19938552284768962, 0.2207576885923637, 0.19380752491798423]","[0.0, 0.5577338337898254, 0.0, 0.0, 0.4422661364078522]",-0.004829984921647551
12,0.9353160695726617,"[93.01216761996429, 100.35754730192943, 98.22683776790603, 101.47444113203258, 92.38706856482705]","[93.69336615875682, 99.69406880211697, 99.01626703203206, 101.83211557879079, 95.34749231354982]","[0.007323757269864071, -0.006611147020326793, 0.008036798110016737, 0.003524773753548692, 0.03204370259508209]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20136422991266273, 0.2094970575237882, 0.19517252812067426, 0.19520047567660975, 0.1987657087662651]","[0.0, 0.0, 1.0, 0.0, 0.0]",0.007023565285410226
