step,portfolio_value,prev_prices,curr_prices,returns,action,expert_action,sub_expert_action,real_action,reward
1,1.0079480202286197,"[100.0, 100.0, 100.0, 100.0, 100.0]","[101.11202203401257, 99.7541321453395, 100.92844360278193, 101.21316862409586, 100.46426169862997]","[0.011120220340125685, -0.0024586785466050288, 0.009284436027819254, 0.012131686240958572, 0.004642616986299686]","[0.1705365628004074, 0.0, 0.4741103947162628, 0.0, 0.3553529381752014]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20442113005292006, 0.19295583948801456, 0.19978259578116025, 0.20102052169237236, 0.20181991298553273]","[0.1705365777015686, 0.0, 0.4741104543209076, 0.0, 0.3553529679775238]",0.007916601086029209
2,1.0132707812006463,"[101.11202203401257, 99.7541321453395, 100.92844360278193, 101.21316862409586, 100.46426169862997]","[99.12004108223464, 101.30189799421657, 101.76786771978485, 101.24673034890839, 100.7785543904103]","[-0.019700733025671865, 0.015515806870255937, 0.008317022308464322, 0.00033159444831903803, 0.0031284029411687195]","[0.21846827864646912, 0.614165723323822, 0.0, 0.16736599802970886, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2109287704151248, 0.18819267984015167, 0.21080197942710666, 0.20356189644530417, 0.18651467387231258]","[0.21846827864646912, 0.614165723323822, 0.0, 0.16736599802970886, 0.0]",0.005266894680363679
3,1.0089687782571337,"[99.12004108223464, 101.30189799421657, 101.76786771978485, 101.24673034890839, 100.7785543904103]","[99.345114889965, 100.37855803864969, 101.10117538449491, 100.61837787462414, 101.31554925198894]","[0.0022707194758286695, -0.009114735003480414, -0.006551108421821879, -0.006206150777599075, 0.005328463628267052]","[0.3520815670490265, 0.3520815670490265, 0.0, 0.29583683609962463, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18791800540653517, 0.20244077401192814, 0.21973772000575276, 0.19792037863243778, 0.19198312194334607]","[0.3520815670490265, 0.3520815670490265, 0.0, 0.29583683609962463, 0.0]",-0.004654373807196106
4,1.009724787036326,"[99.345114889965, 100.37855803864969, 101.10117538449491, 100.61837787462414, 101.31554925198894]","[99.96104135307846, 100.57856195865712, 101.0324396542621, 100.11696413388418, 100.96657041071788]","[0.006199866634566336, 0.0019924964446134327, -0.0006798707331679934, -0.004983321648901469, -0.0034444746521888055]","[0.0, 0.5347915291786194, 0.465208500623703, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20476707602232766, 0.19085289854438453, 0.19946671546722874, 0.20815754556707708, 0.19675576439898207]","[0.0, 0.5347915291786194, 0.465208500623703, 0.0, 0.0]",-7.055525314904061e-05
5,1.0163362575667252,"[99.96104135307846, 100.57856195865712, 101.0324396542621, 100.11696413388418, 100.96657041071788]","[97.87927808334649, 103.97631441609516, 101.24988461220563, 100.77250945322514, 99.84608737155887]","[-0.020825746126221744, 0.033782074343384365, 0.0021522291126259523, 0.006547794622141288, -0.011097564615704426]","[0.0, 0.0, 0.0, 1.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19814181360684674, 0.19492934576980894, 0.21361744634952387, 0.19415546479747653, 0.19915592947634392]","[0.0, 0.0, 0.0, 1.0, 0.0]",0.005803791319175297
6,1.0337024115063151,"[97.87927808334649, 103.97631441609516, 101.24988461220563, 100.77250945322514, 99.84608737155887]","[96.14424239994821, 105.75295936876485, 100.31469318738647, 100.29592557062581, 99.44682322081265]","[-0.01772628198096084, 0.017087016044441235, -0.009236469042913153, -0.0047293045016462655, -0.003998796159737651]","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.199472634288481, 0.2012336632646243, 0.20283255467195985, 0.21694745261363674, 0.17951369516129817]","[0.0, 1.0, 0.0, 0.0, 0.0]",0.015438902706459723
7,1.0211174812910833,"[96.14424239994821, 105.75295936876485, 100.31469318738647, 100.29592557062581, 99.44682322081265]","[99.28322648816304, 107.9570104506316, 99.09340028986288, 99.18913635551996, 98.02198543404039]","[0.03264869543780936, 0.02084150736795115, -0.012174616287189598, -0.011035236065760979, -0.01432763501764692]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1931688202652121, 0.2062514097875093, 0.20628614319945682, 0.21021422172496762, 0.18407940502285403]","[0.0, 0.0, 1.0, 0.0, 0.0]",-0.012940655617698379
8,1.0520790850464654,"[99.28322648816304, 107.9570104506316, 99.09340028986288, 99.18913635551996, 98.02198543404039]","[102.29362242634215, 106.8197551286504, 100.41399547681975, 98.49393230513421, 97.55428972948341]","[0.03032129438841341, -0.010534335076843053, 0.013326772349055825, -0.007008872906141257, -0.0047713347417522875]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20053330921778778, 0.19086011679324846, 0.22605222394249408, 0.19011747786477343, 0.1924368721816961]","[1.0, 0.0, 0.0, 0.0, 0.0]",0.028038787133202226
9,1.0678746153434684,"[102.29362242634215, 106.8197551286504, 100.41399547681975, 98.49393230513421, 97.55428972948341]","[101.24179054097452, 108.33034951971014, 101.92157445100607, 96.57801346339794, 98.0674430105241]","[-0.01028247764052953, 0.014141526436195508, 0.015013633976295028, -0.019452150979217223, 0.005260181612347884]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.21259618372258407, 0.2020939012525748, 0.17944209702755606, 0.2056265048621658, 0.20024131313511928]","[0.0, 0.0, 1.0, 0.0, 0.0]",0.014027703796642864
10,1.0561709234105505,"[101.24179054097452, 108.33034951971014, 101.92157445100607, 96.57801346339794, 98.0674430105241]","[98.95284258274464, 106.78230993005482, 101.45526308769492, 96.73677858559331, 96.59947251727749]","[-0.02260872655451013, -0.014289989799891304, -0.004575197801082893, 0.0016439054449545768, -0.01496898917910071]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19934904589954502, 0.1939563275762348, 0.20346880584760457, 0.20707426057312356, 0.19615156010349213]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]",-0.011335583456927444
11,1.0727869662654395,"[98.95284258274464, 106.78230993005482, 101.45526308769492, 96.73677858559331, 96.59947251727749]","[100.90388659130936, 105.45719581322602, 99.86663068495663, 95.40341875547053, 97.7760361742996]","[0.01971690714122996, -0.01240949102615203, -0.01565845235022571, -0.013783380526187595, 0.012179814509977559]","[0.47133922576904297, 0.0, 0.0, 0.0, 0.5286608338356018]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20616049173632858, 0.19871420993938763, 0.20103264255704578, 0.20342782760754563, 0.19066482815969227]","[0.47133922576904297, 0.0, 0.0, 0.0, 0.5286608338356018]",0.014611901062930312
12,1.0754805325236674,"[100.90388659130936, 105.45719581322602, 99.86663068495663, 95.40341875547053, 97.7760361742996]","[99.13095001387994, 103.70502174479708, 100.84445272929763, 95.32011873311289, 98.86188053594604]","[-0.01757054794737826, -0.01661502617168199, 0.009791279005153121, -0.0008731345631453794, 0.011105424234121804]","[0.0, 0.0, 0.0, 0.7174996733665466, 0.282500296831131]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2119423672553133, 0.1785003488776872, 0.2040867320707877, 0.20438346831383114, 0.20108708348238066]","[0.0, 0.0, 0.0, 0.7174996733665466, 0.282500296831131]",0.0019024944112041283
13,1.0923573033996576,"[99.13095001387994, 103.70502174479708, 100.84445272929763, 95.32011873311289, 98.86188053594604]","[100.7374192900141, 106.43896631406486, 101.55317313360709, 92.66975417752762, 99.34161398887576]","[0.016205526890534505, 0.026362701856382766, 0.007027857111902008, -0.0278048809717289, 0.004852562487472523]","[0.814319908618927, 0.07414175570011139, 0.0, 0.0, 0.11153838783502579]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19533076220067289, 0.19779911953855578, 0.20370071656225996, 0.19066657665661255, 0.21250282504189896]","[0.814319908618927, 0.07414175570011139, 0.0, 0.0, 0.11153838783502579]",0.013999625211622407
