step,portfolio_value,prev_prices,curr_prices,returns,action,expert_action,sub_expert_action,real_action,reward
1,1.0014724872411118,"[100.0, 100.0, 100.0, 100.0, 100.0]","[99.97889838007006, 100.36762609325827, 98.75839845660634, 100.67769536551734, 99.10875547178819]","[-0.00021101619929936533, 0.0036762609325826645, -0.012416015433936564, 0.006776953655173373, -0.008912445282118143]","[0.0, 0.24053719639778137, 0.117319256067276, 0.4951060712337494, 0.14703747630119324]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20419731118603704, 0.19956140009303086, 0.2057604006677558, 0.19751096053124612, 0.1929699275219302]","[0.0, 0.24053719639778137, 0.117319256067276, 0.4951060712337494, 0.14703747630119324]",0.001471404194825069
2,0.9948454441297598,"[99.97889838007006, 100.36762609325827, 98.75839845660634, 100.67769536551734, 99.10875547178819]","[98.16783664079261, 99.69578009168667, 99.25238346353575, 102.31279763162289, 97.30091485409648]","[-0.01811443983302049, -0.006693851670331804, 0.005001954412479257, 0.016240958438402828, -0.018240977894292305]","[0.26364195346832275, 0.0, 0.4986599087715149, 0.0, 0.23769821226596832]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20725850550056826, 0.19461277171729868, 0.20533267321689552, 0.18559833315517027, 0.20719771641006735]","[0.26364192366600037, 0.0, 0.4986598491668701, 0.0, 0.23769818246364594]",-0.006639335617892705
3,0.9885657869014717,"[98.16783664079261, 99.69578009168667, 99.25238346353575, 102.31279763162289, 97.30091485409648]","[98.14916209070635, 99.11781492420054, 98.62588318560883, 104.81971024833697, 99.45897345279693]","[-0.0001902308406223953, -0.005797288179646049, -0.006312193783810661, 0.024502434443638473, 0.02217922207552186]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20261532130812582, 0.1916742240258993, 0.20304260438684402, 0.2052343559137619, 0.197433494365369]","[0.0, 0.0, 1.0, 0.0, 0.0]",-0.007206361129775791
4,0.983879723710827,"[98.14916209070635, 99.11781492420054, 98.62588318560883, 104.81971024833697, 99.45897345279693]","[98.6792878082709, 97.97298034650699, 99.03262526773027, 105.30345934292683, 99.51509458677198]","[0.005401225097312794, -0.011550240272841569, 0.0041240906441970425, 0.004615058498480525, 0.0005642641586451649]","[0.0, 0.4378659129142761, 0.0, 0.0, 0.5621340870857239]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20793485298267816, 0.1808765559562642, 0.19255640770310034, 0.21426536331102544, 0.20436682004693196]","[0.0, 0.4378659129142761, 0.0, 0.0, 0.5621340870857239]",-0.005700177759591427
5,0.988442988147123,"[98.6792878082709, 97.97298034650699, 99.03262526773027, 105.30345934292683, 99.51509458677198]","[99.34445379178776, 97.15793542160131, 102.06505222267346, 106.74921929466312, 98.85630080100007]","[0.006740684882214014, -0.008319078607418687, 0.030620484378205262, 0.013729463027687353, -0.0066200387841411495]","[0.0, 0.41233712434768677, 0.0, 0.5876628756523132, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.22236874379151858, 0.18484518699730018, 0.1951252022920232, 0.19397332594902164, 0.20368754097013636]","[0.0, 0.41233712434768677, 0.0, 0.5876628756523132, 0.0]",0.004127143299040353
6,0.9757574273466157,"[99.34445379178776, 97.15793542160131, 102.06505222267346, 106.74921929466312, 98.85630080100007]","[100.21043343684451, 98.11296044748731, 101.55136282789034, 104.99848735268363, 98.58817675990454]","[0.008716940020343036, 0.009829614243466822, -0.005032960681413333, -0.016400419165098497, -0.0027122605127140272]","[0.0, 0.0, 0.3137497305870056, 0.6862502694129944, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19903446215805873, 0.1930859305892987, 0.2192906656562279, 0.19049778681568083, 0.19809115478073377]","[0.0, 0.0, 0.3137497305870056, 0.6862502694129944, 0.0]",-0.013585466213806428
7,0.9730789512032584,"[100.21043343684451, 98.11296044748731, 101.55136282789034, 104.99848735268363, 98.58817675990454]","[99.93535353711371, 99.14802072453719, 102.8258067269687, 105.03885422343606, 96.67632857216996]","[-0.002745022552009631, 0.01054967939331391, 0.012549746882651707, 0.0003844519265962962, -0.01939226640117884]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.22389610056978418, 0.2102107143902408, 0.18701473351327236, 0.18955183912369575, 0.1893266124030069]","[1.0, 0.0, 0.0, 0.0, 0.0]",-0.0036460133637453073
8,0.9677321904308552,"[99.93535353711371, 99.14802072453719, 102.8258067269687, 105.03885422343606, 96.67632857216996]","[99.76286716071755, 97.26511825199748, 103.05966869493218, 103.72339227552482, 96.7080444705805]","[-0.0017259795486900193, -0.018990822598173463, 0.002274350918388228, -0.012523574801311402, 0.0003280627106858194]","[0.0, 0.3014017641544342, 0.0, 0.0, 0.6985982060432434]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.210072850008501, 0.19534793394329966, 0.20411584334343325, 0.19598694226417115, 0.19447643044059496]","[0.0, 0.3014017641544342, 0.0, 0.0, 0.6985982060432434]",-0.00636192871214009
9,0.9608967640067209,"[99.76286716071755, 97.26511825199748, 103.05966869493218, 103.72339227552482, 96.7080444705805]","[99.05820760192559, 95.45393830551161, 103.58351772515476, 105.96056687628469, 96.74336796407701]","[-0.007063345098700464, -0.01862106353269837, 0.005082968312009895, 0.021568660180503647, 0.0003652591021758445]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2068068507927584, 0.20410776973584568, 0.19028634915877282, 0.20882187271586303, 0.18997715759676012]","[1.0, 0.0, 0.0, 0.0, 0.0]",-0.007873878408617379
10,0.9509825680442948,"[99.05820760192559, 95.45393830551161, 103.58351772515476, 105.96056687628469, 96.74336796407701]","[97.84117500664573, 94.87742926375158, 102.43636370975798, 103.79139051651401, 96.57732404055463]","[-0.012286034895468902, -0.006039656948620056, -0.011074677135802645, -0.020471543553587414, -0.0017163339153546562]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.21482106395355713, 0.19363304923945396, 0.21111168755695187, 0.19378343202933582, 0.18665076722070126]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]",-0.01079583805425891
