step,portfolio_value,prev_prices,curr_prices,returns,action,expert_action,sub_expert_action,real_action,reward
1,1.0050990173605776,"[100.0, 100.0, 100.0, 100.0, 100.0]","[100.50990173605776, 98.66232101931911, 99.96593651651273, 100.31010351895544, 99.6866733964768]","[0.0050990173605775626, -0.013376789806808915, -0.0003406348348727306, 0.0031010351895544375, -0.0031332660352319406]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18776465286474647, 0.21011946314348437, 0.20459140615549345, 0.21823453935526776, 0.1792899384810078]","[1.0, 0.0, 0.0, 0.0, 0.0]",0.0050860613946890985
2,1.001301605469599,"[100.50990173605776, 98.66232101931911, 99.96593651651273, 100.31010351895544, 99.6866733964768]","[100.11894475135402, 96.58774052865772, 99.58825050800631, 101.81528773901066, 97.00223602111375]","[-0.003889736015565912, -0.021027079732445837, -0.0037781470535618727, 0.015005310205574463, -0.026928748687263707]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20242368598201932, 0.2171815691664547, 0.18140607541632492, 0.19701830187451896, 0.20197036756068212]","[0.0, 0.0, 1.0, 0.0, 0.0]",-0.0037853022791563776
3,0.9938204086790152,"[100.11894475135402, 96.58774052865772, 99.58825050800631, 101.81528773901066, 97.00223602111375]","[100.47568397379592, 94.55554193360925, 101.43298105111069, 101.07246373622226, 97.28837702203184]","[0.0035631540397061344, -0.021039922705775625, 0.01852357616178899, -0.007295800260296096, 0.0029498392269618483]","[0.0, 0.012781594879925251, 0.0, 0.9872183799743652, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20878377120706226, 0.19165383167063713, 0.2030615368665988, 0.1988613698022228, 0.19763949045347906]","[0.0, 0.012781594879925251, 0.0, 0.9872183799743652, 0.0]",-0.008077235738348506
4,1.0077697390968925,"[100.47568397379592, 94.55554193360925, 101.43298105111069, 101.07246373622226, 97.28837702203184]","[98.9936132506488, 95.88272991018395, 102.17776386475926, 102.02945977998036, 97.62879920326338]","[-0.014750541270598784, 0.014036067579270721, 0.007342609927566694, 0.00946841511903433, 0.0034991043293327202]","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2055505332098646, 0.20693136101487833, 0.20495159580001412, 0.17742821055860017, 0.20513829941664286]","[0.0, 1.0, 0.0, 0.0, 0.0]",0.01357121229993211
5,1.0011635282839704,"[98.9936132506488, 95.88272991018395, 102.17776386475926, 102.02945977998036, 97.62879920326338]","[97.9407271630356, 96.16075847715878, 102.12215547570442, 102.67302077489981, 97.16225060306054]","[-0.010635899155911477, 0.002899673040549246, -0.0005442318069168322, 0.00630759974920234, -0.004778800968672024]","[0.6985260844230652, 0.30147382616996765, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20085114220171746, 0.18920552244426903, 0.20158356597522747, 0.2126593211171789, 0.19570044826160715]","[0.69852614402771, 0.30147385597229004, 0.0, 0.0, 0.0]",-0.006892011565220292
6,0.996277081856827,"[97.9407271630356, 96.16075847715878, 102.12215547570442, 102.67302077489981, 97.16225060306054]","[97.06228797247825, 96.24098455563248, 102.40923545212374, 102.07007169116514, 96.66408611988327]","[-0.00896908993839792, 0.0008342912404622552, 0.002811142940354595, -0.005872517231732922, -0.0051271402225175]","[0.028459468856453896, 0.0, 0.10572885721921921, 0.6487900614738464, 0.21702158451080322]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1977455181358646, 0.21990167595057097, 0.19237532192356868, 0.19796752712754564, 0.19200995686245015]","[0.028459468856453896, 0.0, 0.10572885721921921, 0.6487900614738464, 0.21702158451080322]",-0.005192368327709176
7,0.9978774856983516,"[97.06228797247825, 96.24098455563248, 102.40923545212374, 102.07007169116514, 96.66408611988327]","[94.24762079596665, 95.41297767256246, 103.58296086207075, 104.30079230782532, 97.85479795137854]","[-0.028998566130129577, -0.008603474776293302, 0.011461128527765709, 0.021854796216952816, 0.012318037435522348]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18969630527532882, 0.19548498375440582, 0.21286925179626204, 0.21274808597382858, 0.1892013732001747]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]",0.0012476610368168386
8,0.9879788834903676,"[94.24762079596665, 95.41297767256246, 103.58296086207075, 104.30079230782532, 97.85479795137854]","[95.41561253223864, 96.83600373182047, 102.98594303917488, 104.36911701950649, 96.19966105887185]","[0.01239279810363097, 0.014914386847264496, -0.005763668251295142, 0.0006550737551400673, -0.016914212968168238]","[0.11777368187904358, 0.0, 0.3177388310432434, 0.0, 0.5644874572753906]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19538377611751503, 0.18885911295821947, 0.2097982011350473, 0.1940348898185098, 0.21192401997070823]","[0.11777368187904358, 0.0, 0.3177388310432434, 0.0, 0.5644874572753906]",-0.01075230968409373
9,0.98375674494722,"[95.41561253223864, 96.83600373182047, 102.98594303917488, 104.36911701950649, 96.19966105887185]","[94.57090128590949, 97.95634890651112, 102.44285170945822, 101.80967507301776, 96.73836074794444]","[-0.008852966762056335, 0.011569510631534953, -0.005273451052539014, -0.02452298169783668, 0.005599808597484722]","[0.0, 0.0, 0.9080367684364319, 0.0, 0.09196323901414871]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19203556887710335, 0.19869621836970783, 0.2071649543049314, 0.1990909090064436, 0.20301234944181387]","[0.0, 0.0, 0.9080367684364319, 0.0, 0.09196323901414871]",-0.005063014496411579
10,0.9826936507337435,"[94.57090128590949, 97.95634890651112, 102.44285170945822, 101.80967507301776, 96.73836074794444]","[94.24487490800493, 100.44397896389933, 101.41394007378231, 101.68544443058576, 96.63382068551482]","[-0.0034474280510333943, 0.02539529173103807, -0.010043762141589375, -0.0012202243288066512, -0.0010806474455568238]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1935314044592316, 0.19175755874626413, 0.20830705504512315, 0.19573856269305695, 0.2106654190563242]","[0.0, 0.0, 0.0, 0.0, 1.0]",-0.002223924180562065
