step,portfolio_value,prev_prices,curr_prices,returns,action,expert_action,sub_expert_action,real_action,reward
1,1.024981143143631,"[100.0, 100.0, 100.0, 100.0, 100.0]","[101.6105398952226, 100.9461396177812, 101.0785851055989, 102.57981199291832, 100.85428750105709]","[0.01610539895222601, 0.009461396177811991, 0.010785851055989042, 0.025798119929183228, 0.008542875010570867]","[0.0, 0.0, 0.0, 0.9526533484458923, 0.04734661802649498]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19554078322033702, 0.20136746751511408, 0.19736177036845412, 0.1994346674998765, 0.20629531139621826]","[0.0, 0.0, 0.0, 0.9526534080505371, 0.04734662175178528]",0.024674244564073976
2,1.008290312154538,"[101.6105398952226, 100.9461396177812, 101.0785851055989, 102.57981199291832, 100.85428750105709]","[101.96258717066603, 97.89647196932216, 101.86632880678108, 101.02129322466807, 102.38864374334958]","[0.0034646728164858154, -0.03021083976074951, 0.007793378788980945, -0.015193230889893283, 0.015213594585915913]","[0.0, 0.6335458755493164, 0.3664541244506836, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20756718060728901, 0.20646021383147672, 0.1875183892247697, 0.20349007360012691, 0.19496414273633766]","[0.0, 0.6335458755493164, 0.3664541244506836, 0.0, 0.0]",-0.01641807921547509
3,1.0128794786372481,"[101.96258717066603, 97.89647196932216, 101.86632880678108, 101.02129322466807, 102.38864374334958]","[102.54284839902805, 96.42736998965817, 103.24963901321921, 101.37199160738274, 102.288458950163]","[0.005690922959720236, -0.015006689721406528, 0.013579660940387598, 0.0034715293332735955, -0.0009784756348340479]","[0.8291466236114502, 0.0, 0.0, 0.0, 0.170853391289711]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19570498658744334, 0.20347529158331137, 0.2018565162429802, 0.20885279083949218, 0.19011041474677282]","[0.8291466236114502, 0.0, 0.0, 0.0, 0.170853391289711]",0.004078743471091088
4,1.0238295788155056,"[102.54284839902805, 96.42736998965817, 103.24963901321921, 101.37199160738274, 102.288458950163]","[104.30116234344557, 97.86799694817988, 104.0383827536503, 99.01409199864409, 102.5588552753366]","[0.017147114322154808, 0.01494002126861089, 0.0076391912646794164, -0.02325987258759674, 0.002643468558904923]","[0.3335818350315094, 0.0, 0.666418194770813, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20008954903023898, 0.19916508091750942, 0.19752217011940934, 0.19745625542863282, 0.2057669445042096]","[0.3335818350315094, 0.0, 0.666418194770813, 0.0, 0.0]",0.010492139124855015
5,1.0157865720794186,"[104.30116234344557, 97.86799694817988, 104.0383827536503, 99.01409199864409, 102.5588552753366]","[101.77652244432785, 98.09563255177873, 103.21805784257344, 95.61253488571587, 103.55343363085342]","[-0.024205290165458717, 0.0023259452599135788, -0.007884829515461404, -0.03435427265216751, 0.009697635107633643]","[0.0, 0.0028424079064279795, 0.9971575736999512, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19803094210804528, 0.20902134503068698, 0.18029398865956037, 0.20657012219743265, 0.20608360200427453]","[0.0, 0.0028424079064279795, 0.9971575736999512, 0.0, 0.0]",-0.008127486095545866
6,1.0334442534802506,"[101.77652244432785, 98.09563255177873, 103.21805784257344, 95.61253488571587, 103.55343363085342]","[102.06405540628538, 98.32949157187021, 105.01232410902523, 95.45673124111845, 104.31180796486153]","[0.0028251403668739577, 0.0023839901329759236, 0.01738325932452994, -0.0016295315753698642, 0.007323507366366601]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20753537595658816, 0.1901491086056351, 0.18954697608421142, 0.2110579727320498, 0.20171056662151543]","[0.0, 0.0, 1.0, 0.0, 0.0]",0.01648928123384374
7,1.026438732204657,"[102.06405540628538, 98.32949157187021, 105.01232410902523, 95.45673124111845, 104.31180796486153]","[98.94422007121182, 98.41196001950917, 105.08908908474517, 96.57465382244493, 102.57943647700418]","[-0.03056742476726466, 0.0008386949461513491, 0.0007310092065026662, 0.011711301725832946, -0.01660762594049675]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19850994977501427, 0.2005636485622291, 0.2073696003875501, 0.20143614538844143, 0.19212065588676505]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]",-0.007579094012235216
8,1.0347780730186877,"[98.94422007121182, 98.41196001950917, 105.08908908474517, 96.57465382244493, 102.57943647700418]","[99.69168682581513, 99.76655427771828, 106.48950240174105, 96.42533601183442, 101.6234109052146]","[0.007554425655842701, 0.013764528802602692, 0.01332596303947948, -0.0015461387092832529, -0.009319855953818767]","[0.0, 0.28377586603164673, 0.35811206698417664, 0.35811206698417664, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2021632642447125, 0.20359300004332717, 0.2056889310753036, 0.19627578130874213, 0.1922790233279146]","[0.0, 0.28377586603164673, 0.35811206698417664, 0.35811206698417664, 0.0]",0.007126859753128347
9,1.028592464119016,"[99.69168682581513, 99.76655427771828, 106.48950240174105, 96.42533601183442, 101.6234109052146]","[99.54982745959235, 97.8955971421854, 106.3069528400928, 95.10971210327494, 102.37710437494353]","[-0.0014229808998079921, -0.018753350249270332, -0.0017142493629048981, -0.013643964988600144, 0.007416533877532499]","[0.6273021101951599, 0.0, 0.0, 0.3726978600025177, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.199323822224693, 0.20178043112730706, 0.19661364599457792, 0.199705583612344, 0.202576517041078]","[0.6273021101951599, 0.0, 0.0, 0.3726978600025177, 0.0]",-0.007337430991393985
10,1.0124194140119314,"[99.54982745959235, 97.8955971421854, 106.3069528400928, 95.10971210327494, 102.37710437494353]","[97.92945767536825, 97.67132219007158, 105.52973664111451, 94.54309982826136, 101.29989331672074]","[-0.01627697230195411, -0.002290960560647844, -0.007311057068368661, -0.005957459679809843, -0.010521991853546023]","[0.90382319688797, 0.0, 0.0, 0.0, 0.09617684781551361]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.21084023019630255, 0.2040904205255561, 0.19575440053397433, 0.1992875630519127, 0.1900273856922543]","[0.90382319688797, 0.0, 0.0, 0.0, 0.09617684781551361]",-0.017300135509245387
