step,portfolio_value,prev_prices,curr_prices,returns,action,expert_action,sub_expert_action,real_action,reward
11,1.0285337196320457,"[99.64922982179844, 102.90674179965262, 103.96086491300349, 101.59724516074809, 102.10389022282995]","[99.17741092295401, 103.8664483007506, 102.94624229287736, 102.82116270362377, 103.05590271160592]","[-0.004734797245178721, 0.00932598277153133, -0.009759659281164975, 0.012046759151187504, 0.009323959025442816]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19749641413287417, 0.21877359930878962, 0.2000675277446204, 0.18820392288252938, 0.1954585359311865]","[0.0, 0.0, 0.0, 0.0, 1.0]",0.00805037830066806
12,1.0512672704658457,"[99.17741092295401, 103.8664483007506, 102.94624229287736, 102.82116270362377, 103.05590271160592]","[99.05559894262575, 104.67917334002665, 103.65997023868596, 102.65096473062994, 105.33373430652493]","[-0.0012282230317838215, 0.007824711950511286, 0.00693301600827815, -0.0016552815443686344, 0.022102873634452024]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20835016946269527, 0.20361477292041014, 0.1961032286617653, 0.19269420228525322, 0.199237626669876]","[0.0, 0.0, 0.0, 0.0, 1.0]",0.02067090987905457
13,1.084697862081301,"[99.05559894262575, 104.67917334002665, 103.65997023868596, 102.65096473062994, 105.33373430652493]","[97.46293152700373, 105.5488341396307, 101.71361708971347, 105.91529396188386, 103.82652861203678]","[-0.016078519867862396, 0.00830786843127956, -0.018776323632843483, 0.03180027815442327, -0.014308860351443794]","[0.0, 0.0, 0.0, 1.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20554371067171115, 0.2014645871758296, 0.20219071363400506, 0.20023175254231, 0.19056923597614417]","[0.0, 0.0, 0.0, 1.0, 0.0]",0.03053476560620835
14,1.097583815215831,"[97.46293152700373, 105.5488341396307, 101.71361708971347, 105.91529396188386, 103.82652861203678]","[98.89121588676998, 106.20461744646786, 101.15528110328002, 107.49617994536943, 105.28261604908616]","[0.014654641897063418, 0.006213079587119156, -0.0054892943777722965, 0.014925946238269346, 0.014024233079103155]","[0.34063705801963806, 0.3020310699939728, 0.0, 0.0, 0.35733187198638916]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20430465322352961, 0.18887129488992946, 0.19564442706156138, 0.19862499838277178, 0.21255462644220766]","[0.34063705801963806, 0.3020310699939728, 0.0, 0.0, 0.35733187198638916]",0.011213811227183016
15,1.0822208412440188,"[98.89121588676998, 106.20461744646786, 101.15528110328002, 107.49617994536943, 105.28261604908616]","[99.66050576464231, 104.71806238716653, 100.77620608131414, 108.68062346700584, 104.71102747940078]","[0.007779152788991475, -0.013997085014223906, -0.003747456562142686, 0.011018470816715122, -0.005429087831735503]","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19831700044495396, 0.22225099715184277, 0.19297563094903641, 0.18458718929848766, 0.20186918215567917]","[0.0, 1.0, 0.0, 0.0, 0.0]",-0.015273492264353525
16,1.0707602545083985,"[99.66050576464231, 104.71806238716653, 100.77620608131414, 108.68062346700584, 104.71102747940078]","[97.67458999951357, 102.19309992575324, 102.9956737784191, 109.04396303927552, 105.65463313801543]","[-0.019926808015791782, -0.024112005167531845, 0.0220237274591794, 0.0033431863075388596, 0.009011521339529151]","[0.0, 0.5074837803840637, 0.0, 0.4925162196159363, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2057191821750267, 0.19273519963438243, 0.1878112982480617, 0.20085059295751506, 0.21288372698501404]","[0.0, 0.5074837803840637, 0.0, 0.4925162196159363, 0.0]",-0.011422898270685542
17,1.0980785152734658,"[97.67458999951357, 102.19309992575324, 102.9956737784191, 109.04396303927552, 105.65463313801543]","[98.54904438829281, 104.80034813132288, 102.10935992985686, 109.4883217623678, 104.50693365487605]","[0.008952731603824461, 0.025512957405772866, -0.008605350264216143, 0.004075041943699619, -0.010862746375165112]","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1978851490886285, 0.20667181857039932, 0.2063799899363721, 0.18397199841991663, 0.20509104398468353]","[0.0, 1.0, 0.0, 0.0, 0.0]",0.023831630874301294
18,1.1141725790606538,"[98.54904438829281, 104.80034813132288, 102.10935992985686, 109.4883217623678, 104.50693365487605]","[98.08346232740097, 108.27703356887058, 103.49337096255589, 111.86393430637825, 105.50823923717773]","[-0.004724369107603001, 0.03317436916517823, 0.013554203391831618, 0.021697405766858437, 0.009581235878648939]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20135162112681143, 0.20516131660633, 0.1931613699082803, 0.19190919712689278, 0.2084164952316855]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]",0.014147519759086673
19,1.1193233225638415,"[98.08346232740097, 108.27703356887058, 103.49337096255589, 111.86393430637825, 105.50823923717773]","[99.32250213647126, 109.45211398397008, 103.52680648059112, 111.66986294236207, 105.87027692413486]","[0.012632504804269628, 0.01085253609531222, 0.0003230691755835289, -0.0017348877028108976, 0.0034313688634617324]","[0.3870736062526703, 0.0, 0.3870736062526703, 0.22585280239582062, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20475096418888977, 0.20717624212360924, 0.18710190228475915, 0.20423770127069937, 0.19673319013204246]","[0.3870736062526703, 0.0, 0.3870736062526703, 0.22585280239582062, 0.0]",0.0041891407414181665
20,1.147948574627137,"[99.32250213647126, 109.45211398397008, 103.52680648059112, 111.66986294236207, 105.87027692413486]","[99.6418545254227, 108.0776881043918, 105.76259852765462, 114.52687170584953, 106.25975974355508]","[0.003215307529331538, -0.012557326026426275, 0.021596262099349672, 0.02558442079365755, 0.003678868429704035]","[0.0, 0.0, 0.0, 0.9995111227035522, 0.0004889138508588076]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2158914532730269, 0.21612397404099817, 0.18613568300966415, 0.1876577100333634, 0.19419117964294735]","[0.0, 0.0, 0.0, 0.9995111227035522, 0.0004889138508588076]",0.024242590364637075
21,1.1553283331151727,"[99.6418545254227, 108.0776881043918, 105.76259852765462, 114.52687170584953, 106.25975974355508]","[99.42887345830924, 108.22043644893417, 105.57279807095723, 114.75328563216138, 108.61064732443104]","[-0.002137465908556735, 0.0013207938386366011, -0.0017945895745721035, 0.0019769502383106233, 0.022123968532862692]","[0.36334526538848877, 0.33072081208229065, 0.0, 0.0, 0.30593395233154297]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1940474893379785, 0.20313214916275618, 0.19540571705158283, 0.21912112869664585, 0.1882935157510365]","[0.36334526538848877, 0.33072081208229065, 0.0, 0.0, 0.30593395233154297]",0.005707495346506036
22,1.1605012625330473,"[99.42887345830924, 108.22043644893417, 105.57279807095723, 114.75328563216138, 108.61064732443104]","[99.81665377096178, 108.66223475818474, 105.29185789424918, 115.28711671236658, 109.25671239430581]","[0.0039000775042989403, 0.004082392602981628, -0.0026611038244835823, 0.004651989503083902, 0.005948450596605907]","[0.0, 0.2102603316307068, 0.007489579264074564, 0.7822501063346863, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1936136241577361, 0.20056202049857214, 0.20022494577472638, 0.20013184286312338, 0.2054675667058421]","[0.0, 0.2102603316307068, 0.007489579264074564, 0.7822501063346863, 0.0]",0.00359020627368885
23,1.1456171983397208,"[99.81665377096178, 108.66223475818474, 105.29185789424918, 115.28711671236658, 109.25671239430581]","[100.53304353465263, 111.56145860611696, 103.94143215794973, 116.97046746497261, 108.88869746591764]","[0.007177056499356071, 0.026681062232744503, -0.01282554760934843, 0.014601377852183395, -0.003368350743156201]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19333583794170656, 0.20518370094633556, 0.20762311096907818, 0.18482125776442954, 0.20903609237845014]","[0.0, 0.0, 1.0, 0.0, 0.0]",-0.014079671611004565
24,1.1423104527145633,"[100.53304353465263, 111.56145860611696, 103.94143215794973, 116.97046746497261, 108.88869746591764]","[102.33028006598104, 112.92732146874589, 103.64141232884887, 115.63381781852132, 108.40733088062028]","[0.017877072732896234, 0.0122431427456618, -0.002886431549691854, -0.011427240357499284, -0.004420721309923229]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2088756545810806, 0.1986527281685093, 0.19913199901599582, 0.19213350570547844, 0.20120611252893586]","[0.0, 0.0, 1.0, 0.0, 0.0]",-0.0040775103226301825
25,1.1382332877727475,"[102.33028006598104, 112.92732146874589, 103.64141232884887, 115.63381781852132, 108.40733088062028]","[104.42644666609903, 110.6295736901412, 103.27149263507097, 117.29786081715648, 111.0652049043247]","[0.02048432388503584, -0.02034713786460099, -0.003569226677499974, 0.014390625770453634, 0.024517474990979275]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20696479671316925, 0.20837474793663177, 0.19091627997766347, 0.19620140853861107, 0.19754276683392444]","[0.0, 0.0, 1.0, 0.0, 0.0]",-0.004741111565471745
26,1.1301795593671775,"[104.42644666609903, 110.6295736901412, 103.27149263507097, 117.29786081715648, 111.0652049043247]","[101.68064588587573, 110.42764895409991, 103.33729320524277, 117.74549649716889, 111.88738181065925]","[-0.026294112917611006, -0.001825232885800106, 0.0006371610256890648, 0.00381623055095765, 0.0074026506054961]","[0.30928027629852295, 0.0, 0.4967915117740631, 0.19392822682857513, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20137462041393195, 0.19596310730189734, 0.19303892416981724, 0.20033767145369105, 0.2092856766606625]","[0.30928027629852295, 0.0, 0.4967915117740631, 0.19392822682857513, 0.0]",-0.007635449894762116
27,1.136093626359254,"[101.68064588587573, 110.42764895409991, 103.33729320524277, 117.74549649716889, 111.88738181065925]","[102.15402516520183, 115.13187707395514, 104.19844635301394, 118.12918663050259, 110.29039374584723]","[0.004655549492254477, 0.042600093042011414, 0.008333420791860571, 0.0032586395637044735, -0.014273173962677197]","[0.028686393052339554, 0.0, 0.38112857937812805, 0.5901850461959839, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19498173370306596, 0.2079191082367985, 0.1925188112018831, 0.19886585709086876, 0.2057144897673836]","[0.028686393052339554, 0.0, 0.38112857937812805, 0.5901850461959839, 0.0]",0.004533679843125638
28,1.1387633330131077,"[102.15402516520183, 115.13187707395514, 104.19844635301394, 118.12918663050259, 110.29039374584723]","[103.85106396743102, 114.20314164295715, 103.61978484740378, 119.3811953626737, 109.2321989310957]","[0.016612549524942982, -0.008066709712388466, -0.005553456177740974, 0.010598640081111166, -0.0095946236005833]","[0.3906378448009491, 0.30061596632003784, 0.30874621868133545, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19801382986637586, 0.20074208401124416, 0.19057293599898986, 0.2035753945293263, 0.20709575559406376]","[0.3906378448009491, 0.30061596632003784, 0.30874621868133545, 0.0, 0.0]",0.0016821676814155414
29,1.1241760499200437,"[103.85106396743102, 114.20314164295715, 103.61978484740378, 119.3811953626737, 109.2321989310957]","[101.90970304514236, 114.20343021999274, 102.21120470859927, 120.26310508867341, 106.81208008313968]","[-0.01869370277128299, 2.526874755271336e-06, -0.013593737343489593, 0.007387342062713685, -0.022155727630116133]","[0.0, 0.057661399245262146, 0.9423386454582214, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20264640914799603, 0.19505549228377872, 0.19018397263838568, 0.19481893028430508, 0.2172951956455344]","[0.0, 0.057661399245262146, 0.9423386454582214, 0.0, 0.0]",-0.01391395967003682
30,1.1248524076882684,"[101.90970304514236, 114.20343021999274, 102.21120470859927, 120.26310508867341, 106.81208008313968]","[102.45710372139601, 113.25331263316266, 102.00042610825606, 118.78832675288504, 107.1332459612212]","[0.0053714284302365765, -0.008319518818303803, -0.0020621868311221526, -0.012262932465455435, 0.003006831042252364]","[0.3583497703075409, 0.0, 0.6416501998901367, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19677028632821117, 0.20418461143316485, 0.20714788583772162, 0.19448839530221435, 0.197408821098688]","[0.3583497703075409, 0.0, 0.6416501998901367, 0.0, 0.0]",-0.00014679498023585733
31,1.121715127547165,"[102.45710372139601, 113.25331263316266, 102.00042610825606, 118.78832675288504, 107.1332459612212]","[101.82949488541398, 112.93744242102666, 103.38595135223433, 118.22322000381718, 106.83066250063973]","[-0.006125576589483153, -0.002789059364286643, 0.013583524077710869, -0.004757258263629349, -0.0028243656566795255]","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19096021298094118, 0.19792523355789615, 0.19193635361141848, 0.20399473778790242, 0.21518346206184166]","[0.0, 1.0, 0.0, 0.0, 0.0]",-0.00438623035162684
32,1.1168471148836985,"[101.82949488541398, 112.93744242102666, 103.38595135223433, 118.22322000381718, 106.83066250063973]","[101.39979657717096, 112.4473171776529, 103.35989904132369, 117.77886202074997, 107.28667671704044]","[-0.00421978237961945, -0.0043397940741971555, -0.00025199082244630274, -0.003758635427565406, 0.004268570518300142]","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19897741261307308, 0.19349598497728307, 0.20337816117131105, 0.20069489054033823, 0.20345355069799453]","[0.0, 1.0, 0.0, 0.0, 0.0]",-0.005921395188678803
33,1.1057374716662,"[101.39979657717096, 112.4473171776529, 103.35989904132369, 117.77886202074997, 107.28667671704044]","[98.58742444297756, 112.68950952394965, 104.24649740863403, 117.49783455824043, 107.30365785730636]","[-0.027735481027844292, 0.0021538294765549005, 0.008577778960057575, -0.002386060263173803, 0.00015827818314022968]","[0.40194499492645264, 0.5543089509010315, 0.0, 0.0, 0.04374602437019348]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1970404512933455, 0.2037298040969996, 0.20419930973044478, 0.18740798864188743, 0.20762244623732273]","[0.40194499492645264, 0.5543089509010315, 0.0, 0.0, 0.04374602437019348]",-0.01099977905755524
34,1.0964514445251687,"[98.58742444297756, 112.68950952394965, 104.24649740863403, 117.49783455824043, 107.30365785730636]","[100.18832159992279, 111.74313855365772, 104.97961973948892, 115.97863963421621, 107.50400251010029]","[0.016238350540044518, -0.008398039660389215, 0.007032584778183421, -0.012929556784905654, 0.0018670812980145649]","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18829676923184835, 0.18962291074241194, 0.1911287413397639, 0.20334101676426283, 0.227610561921713]","[0.0, 1.0, 0.0, 0.0, 0.0]",-0.00996407333285698
35,1.1085425707477474,"[100.18832159992279, 111.74313855365772, 104.97961973948892, 115.97863963421621, 107.50400251010029]","[100.40356760095227, 110.94230825613569, 104.35077150845083, 118.10469290387239, 105.19543367632647]","[0.0021484140825216744, -0.007166706680047983, -0.005990193454678185, 0.018331420995810255, -0.021474259375197893]","[0.0, 0.28644901514053345, 0.0, 0.7135509252548218, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19858789306269542, 0.19921083747278273, 0.20570898197332135, 0.19602341344561058, 0.2004688740455899]","[0.0, 0.28644904494285583, 0.0, 0.7135509848594666, 0.0]",0.010085333644074953
36,1.1224476624063215,"[100.40356760095227, 110.94230825613569, 104.35077150845083, 118.10469290387239, 105.19543367632647]","[99.90793561894746, 112.3905838573818, 106.79087116872995, 118.9304140985237, 106.51496094206432]","[-0.004936398116595496, 0.013054312858737661, 0.023383628362359597, 0.006991434246591522, 0.012543579313507764]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20098989927988806, 0.20023252741546355, 0.20962967357053477, 0.1959564999040221, 0.1931913998300914]","[0.0, 0.0, 0.0, 0.0, 1.0]",0.011235828940689151
37,1.1210577542867615,"[99.90793561894746, 112.3905838573818, 106.79087116872995, 118.9304140985237, 106.51496094206432]","[100.18873722804246, 111.79336082962028, 106.24545122470887, 118.8125098372931, 106.36984431792855]","[0.0028106036558094953, -0.005313817290239923, -0.005107364871659412, -0.0009913718212812951, -0.001362406021203902]","[0.5016399621963501, 0.4983600676059723, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19384023820992008, 0.19932659580713463, 0.1960527539335428, 0.212002388021903, 0.19877802402749972]","[0.5016399621963501, 0.4983600676059723, 0.0, 0.0, 0.0]",-0.0022207140230260485
38,1.1407055289292607,"[100.18873722804246, 111.79336082962028, 106.24545122470887, 118.8125098372931, 106.36984431792855]","[101.94465544300145, 114.04250854401376, 106.82713571139816, 119.37185545756729, 103.57599894564399]","[0.017526103866967603, 0.020118795049209656, 0.005474911913725344, 0.004707800727719479, -0.026265389314043253]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2075381112856834, 0.20210335137001362, 0.18822806069121187, 0.2071215299255917, 0.19500894672749955]","[1.0, 0.0, 0.0, 0.0, 0.0]",0.01619954567787547
39,1.141245603954758,"[101.94465544300145, 114.04250854401376, 106.82713571139816, 119.37185545756729, 103.57599894564399]","[103.448799304559, 112.3618326438173, 104.58404329074102, 120.53865987918475, 104.98182710164869]","[0.014754514153010576, -0.014737275789999124, -0.020997403007387786, 0.009774535355465061, 0.013572914288207557]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20033510106213662, 0.2127800398828816, 0.20469157055382117, 0.20261264050209168, 0.17958064799906884]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]",-2.1252168831087056e-05
40,1.1218324959381734,"[103.448799304559, 112.3618326438173, 104.58404329074102, 120.53865987918475, 104.98182710164869]","[104.23811829463783, 110.6334424813677, 105.05316319742812, 118.33660230340301, 104.4717035945722]","[0.007630044963161215, -0.015382360021917143, 0.004485578219451282, -0.018268475674019003, -0.0048591601152317395]","[0.0, 0.43588700890541077, 0.0, 0.5641130208969116, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20171251226089, 0.18698295359928488, 0.19282321689415158, 0.19573000471968952, 0.22275131252598412]","[0.0, 0.43588700890541077, 0.0, 0.5641130208969116, 0.0]",-0.018030218924660092
41,1.1189260375757,"[104.23811829463783, 110.6334424813677, 105.05316319742812, 118.33660230340301, 104.4717035945722]","[103.1775060421508, 108.42015710658374, 104.78099008264942, 118.46991465108441, 101.87841590989076]","[-0.010174898298615896, -0.020005572683474082, -0.00259081313208243, 0.0011265520987293295, -0.024822871604978553]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19516968569531576, 0.2103057796673912, 0.20256533260910398, 0.2003232292035031, 0.19163597282468592]","[0.0, 0.0, 1.0, 0.0, 0.0]",-0.0037075355511496555
42,1.128105916764716,"[103.1775060421508, 108.42015710658374, 104.78099008264942, 118.46991465108441, 101.87841590989076]","[104.4047043035646, 106.80713335703327, 105.48391860628867, 119.90846975934342, 103.12156738181439]","[0.011894048504258868, -0.01487752639912499, 0.006708550120444426, 0.012142788424350756, 0.012202304686629258]","[0.0, 0.0, 0.7247751355171204, 0.27522480487823486, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.21146257832058724, 0.18887483366606375, 0.20264273309062678, 0.19946229226223205, 0.19755756266049013]","[0.0, 0.0, 0.7247751951217651, 0.27522483468055725, 0.0]",0.007377980596619728
43,1.1408797759913298,"[104.4047043035646, 106.80713335703327, 105.48391860628867, 119.90846975934342, 103.12156738181439]","[106.11309811792039, 106.3493394702486, 106.14671330854485, 122.27257055127437, 102.6603986520985]","[0.016363188093407196, -0.0042861733331458745, 0.006283372015501369, 0.019715878258439186, -0.004472088055143559]","[0.5, 0.0, 0.5, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.21245793791504722, 0.1961719636474225, 0.18081700670003906, 0.20370434423757347, 0.20684874749991772]","[0.5, 0.0, 0.5, 0.0, 0.0]",0.010555289409600653
44,1.137304812568388,"[106.11309811792039, 106.3493394702486, 106.14671330854485, 122.27257055127437, 102.6603986520985]","[105.78127622901518, 108.77421889727789, 106.50888697257447, 121.15788977162464, 101.84122340811443]","[-0.0031270587212190006, 0.02280107651921675, 0.003412010157835675, -0.009116360068526536, -0.007979466812320993]","[0.0, 0.16841571033000946, 0.0, 0.2972792088985443, 0.5343050956726074]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1978804331913284, 0.2036531671811805, 0.19532688084323335, 0.20270373398328645, 0.20043578480097124]","[0.0, 0.16841571033000946, 0.0, 0.2972792088985443, 0.5343050956726074]",-0.003888913247062004
