step,portfolio_value,prev_prices,curr_prices,returns,action,expert_action,sub_expert_action,real_action,reward
1,1.017689839550994,"[100.0, 100.0, 100.0, 100.0, 100.0]","[99.66894472303055, 97.98661107289256, 100.73731186776102, 101.76898395509939, 99.93634073093709]","[-0.0033105527696945104, -0.020133889271074422, 0.007373118677610222, 0.017689839550993867, -0.0006365926906291008]","[0.0, 0.0, 0.0, 1.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20039813189686467, 0.179838881116976, 0.21404017024572583, 0.20178619567836292, 0.20393662106207067]","[0.0, 0.0, 0.0, 1.0, 0.0]",0.01753519542904737
2,1.0235781463951394,"[99.66894472303055, 97.98661107289256, 100.73731186776102, 101.76898395509939, 99.93634073093709]","[98.77110471210771, 98.04203199078178, 102.61341749818604, 101.58685983827351, 101.98885715264534]","[-0.009008222304528628, 0.0005655968431033339, 0.018623741249794323, -0.0017895837193995035, 0.02053823870972348]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20976903887310094, 0.185101665975763, 0.20672684929646803, 0.20924633008955143, 0.18915611576511657]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]",0.005769294711236854
3,1.0185963737790373,"[98.77110471210771, 98.04203199078178, 102.61341749818604, 101.58685983827351, 101.98885715264534]","[98.23636777154603, 101.55618525231881, 102.28924981074069, 101.98715672073011, 100.47956320204685]","[-0.0054139005746701545, 0.035843333621108996, -0.0031591159845259387, 0.0039404395715535905, -0.014798616169799318]","[0.7574564814567566, 0.0, 0.24254345893859863, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19957966618019918, 0.1956238068612597, 0.21141046141083739, 0.20839911865292296, 0.1849869468947808]","[0.7574565410614014, 0.0, 0.24254347383975983, 0.0, 0.0]",-0.004958353727169624
4,1.0170088208065142,"[98.23636777154603, 101.55618525231881, 102.28924981074069, 101.98715672073011, 100.47956320204685]","[98.08325959083753, 102.10905763056327, 103.42674522344508, 100.68889617080488, 100.13208388016051]","[-0.0015585692364416559, 0.005444004979813231, 0.011120380829940898, -0.012729647454338185, -0.003458208921426335]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19286522681142584, 0.20027485291757136, 0.22084496238352033, 0.2025980136520025, 0.18341694423547997]","[1.0, 0.0, 0.0, 0.0, 0.0]",-0.0017965167832275526
5,1.031651545861791,"[98.08325959083753, 102.10905763056327, 103.42674522344508, 100.68889617080488, 100.13208388016051]","[97.57856293829141, 102.24318011097238, 105.08842160219652, 100.93670724964339, 101.06061344182001]","[-0.005145594208955737, 0.0013135218708448702, 0.01606621551477348, 0.002461155979087625, 0.009273047415759163]","[0.0, 0.0, 0.7544031143188477, 0.0, 0.24559691548347473]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18696036767957672, 0.20923587734330484, 0.17682947682336986, 0.21474493958479318, 0.21222933856895534]","[0.0, 0.0, 0.7544031143188477, 0.0, 0.24559691548347473]",0.013409909456972341
6,1.0325661400867585,"[97.57856293829141, 102.24318011097238, 105.08842160219652, 100.93670724964339, 101.06061344182001]","[97.18390492789868, 101.9613035005913, 105.37790893516194, 101.3714681847616, 100.46105167299828]","[-0.004044515501240914, -0.0027569233476025844, 0.0027547024548646467, 0.004307262907268473, -0.005932694730444057]","[0.0, 0.338950514793396, 0.661049485206604, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1925204366686809, 0.20878024112473492, 0.19439840321233273, 0.21635883872271083, 0.1879420802715406]","[0.0, 0.338950514793396, 0.661049485206604, 0.0, 0.0]",0.0003704775687412197
7,1.0366300788770761,"[97.18390492789868, 101.9613035005913, 105.37790893516194, 101.3714681847616, 100.46105167299828]","[97.98290872989215, 102.15288499453582, 106.50450519924419, 101.70900448664615, 103.13268731590485]","[0.00822156510984252, 0.0018789627767304335, 0.01069100986598089, 0.003329697280001455, 0.026593745520430805]","[0.0, 0.0, 0.0, 0.9739482998847961, 0.026051729917526245]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19577546697537107, 0.20140594961826663, 0.1918948779262767, 0.20239774223072893, 0.20852596324935674]","[0.0, 0.0, 0.0, 0.9739482998847961, 0.026051729917526245]",0.003056515676029852
8,1.0331590062166278,"[97.98290872989215, 102.15288499453582, 106.50450519924419, 101.70900448664615, 103.13268731590485]","[98.28443754946927, 103.20325133813184, 107.04670883001869, 101.59951571302503, 102.65779002897882]","[0.0030773613835893415, 0.010282297398181118, 0.005090898547062987, -0.0010764904658515137, -0.004604721347669038]","[0.0, 0.0, 0.12957414984703064, 0.0, 0.8704258799552917]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18903151949377436, 0.21754811577464417, 0.18942405765565054, 0.2002043019734539, 0.20379200510247714]","[0.0, 0.0, 0.12957414984703064, 0.0, 0.8704258799552917]",-0.004620187895210153
9,1.0265352904259977,"[98.28443754946927, 103.20325133813184, 107.04670883001869, 101.59951571302503, 102.65779002897882]","[99.97488405730873, 103.92379153526358, 105.03174668773352, 102.30482105052587, 101.8039796637289]","[0.01719953382231653, 0.006981758692572438, -0.018823204975734135, 0.006942014758151313, -0.008317053825227573]","[0.2835128903388977, 0.0, 0.5071654319763184, 0.0, 0.20932169258594513]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18624587442209992, 0.2048320394704787, 0.20058702892022964, 0.20889016605245, 0.19944489113474176]","[0.2835128903388977, 0.0, 0.5071654319763184, 0.0, 0.20932169258594513]",-0.007033953103529269
10,1.0190323041822478,"[99.97488405730873, 103.92379153526358, 105.03174668773352, 102.30482105052587, 101.8039796637289]","[99.64922982179844, 102.90674179965262, 103.96086491300349, 101.59724516074809, 102.10389022282995]","[-0.00325736047189222, -0.009786495667508886, -0.01019579135357836, -0.006916349420408363, 0.0029459610527180964]","[0.3928769528865814, 0.3928769528865814, 0.21424607932567596, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2051739601825902, 0.18325651839527263, 0.20176763870768322, 0.19432884362903544, 0.21547303908541854]","[0.3928769528865814, 0.3928769528865814, 0.21424607932567596, 0.0, 0.0]",-0.00785417837741211
