step,portfolio_value,prev_prices,curr_prices,returns,action,expert_action,sub_expert_action,real_action,reward
1,0.997174254891751,"[100.0, 100.0, 100.0, 100.0, 100.0]","[99.60358237135054, 99.77394856155176, 98.55917574849327, 102.3610525366831, 98.51273798051608]","[-0.003964176286494592, -0.0022605143844823773, -0.014408242515067258, 0.02361052536683104, -0.014872620194839214]","[0.0, 0.4137791693210602, 0.4137791693210602, 0.17244170606136322, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18747230761790998, 0.19561711317597097, 0.19951580885106893, 0.21168786918539026, 0.20570690116965984]","[0.0, 0.4137791693210602, 0.4137791693210602, 0.17244170606136322, 0.0]",-0.0028297002328082207
2,0.9811470650719025,"[99.60358237135054, 99.77394856155176, 98.55917574849327, 102.3610525366831, 98.51273798051608]","[98.1957652480684, 99.37198752776933, 96.97507285929424, 100.21546381676369, 100.2896293056633]","[-0.01413420170002922, -0.0040287173112573856, -0.01607260691020184, -0.020960987277368046, 0.018037173279039847]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18979681200130538, 0.20234886067113886, 0.20906558289085883, 0.19719152006312696, 0.20159722437356992]","[0.0, 0.0, 1.0, 0.0, 0.0]",-0.016203172162683625
3,0.9810953107619471,"[98.1957652480684, 99.37198752776933, 96.97507285929424, 100.21546381676369, 100.2896293056633]","[97.78616096606278, 100.66401500949064, 95.68795313999098, 100.0735754384695, 100.85066452860727]","[-0.004171302916891054, 0.013001928550138445, -0.013272686282698712, -0.0014158331747445223, 0.005594149931834377]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18787075875071543, 0.2228109471470722, 0.20246452130805714, 0.17973505106579002, 0.2071187217283653]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]",-0.0003066243674043026
4,0.9887329098473804,"[97.78616096606278, 100.66401500949064, 95.68795313999098, 100.0735754384695, 100.85066452860727]","[98.54740351341775, 102.60042010492926, 93.9090680841866, 100.45036652566314, 99.46268685078304]","[0.0077847676995844136, 0.019236318909553237, -0.018590480801714725, 0.0037651406531918003, -0.013762702351163102]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2135638552444007, 0.18408555172041102, 0.21198635172764796, 0.19549304491787844, 0.1948711963896619]","[1.0, 0.0, 0.0, 0.0, 0.0]",0.007275647627813844
5,0.9664125498939699,"[98.54740351341775, 102.60042010492926, 93.9090680841866, 100.45036652566314, 99.46268685078304]","[97.42128394035878, 103.98712497445153, 91.78909798745751, 100.45372509867374, 99.69060120192293]","[-0.011427186642270538, 0.013515586662355729, -0.022574711260350308, 3.343514938537443e-05, 0.0022914558047462683]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2069710326836432, 0.1955198764634594, 0.20965042429855793, 0.19164997047684632, 0.19620869607749314]","[0.0, 0.0, 1.0, 0.0, 0.0]",-0.023036687502760746
6,0.9850856183662042,"[97.42128394035878, 103.98712497445153, 91.78909798745751, 100.45372509867374, 99.69060120192293]","[98.7232573516347, 104.27645310319042, 91.28115407553446, 102.61964579656642, 99.46462589305011]","[0.013364363090030622, 0.002782345687602884, -0.005533815268480553, 0.021561377597148653, -0.0022667664368389833]","[0.27318859100341797, 0.0, 0.0, 0.726811408996582, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.21269651518858096, 0.19877553534908923, 0.18623155093344107, 0.20566799887893095, 0.19662839964995768]","[0.27318859100341797, 0.0, 0.0, 0.726811408996582, 0.0]",0.017987798616763685
7,0.9736978334765392,"[98.7232573516347, 104.27645310319042, 91.28115407553446, 102.61964579656642, 99.46462589305011]","[98.27409475286326, 105.21622189711584, 91.52968005759655, 101.37449604967692, 98.08450758725023]","[-0.0045497141283699725, 0.009012281929031887, 0.0027226428563385356, -0.012133639102184053, -0.01387546872476917]","[0.19384072721004486, 0.0, 0.0, 0.2913946211338043, 0.514764666557312]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1974022705851338, 0.1973722581366845, 0.20000148627731934, 0.21085301973630402, 0.19437096526455833]","[0.19384072721004486, 0.0, 0.0, 0.2913946211338043, 0.514764666557312]",-0.012002215559861681
8,0.9758157527779011,"[98.27409475286326, 105.21622189711584, 91.52968005759655, 101.37449604967692, 98.08450758725023]","[99.3627551953958, 103.22227506534902, 92.28843773464747, 101.14494793482697, 99.56582168998365]","[0.011077796699835022, -0.018950944976113777, 0.008289744666139577, -0.0022643576421574646, 0.015102426868134409]","[0.0, 0.0, 0.4206409454345703, 0.5793590545654297, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19275316787575875, 0.21298745452923842, 0.1884573655122285, 0.19734955578590488, 0.20845245629686948]","[0.0, 0.0, 0.4206409454345703, 0.5793590545654297, 0.0]",0.0012441216825460981
9,0.979577251842571,"[99.3627551953958, 103.22227506534902, 92.28843773464747, 101.14494793482697, 99.56582168998365]","[99.64438980863679, 103.00239733836008, 93.1798468833545, 102.13628403328264, 99.45539210832325]","[0.002834408251735275, -0.002130138352886894, 0.009658947215793735, 0.009801143000186543, -0.0011091113374651857]","[0.0, 0.14488039910793304, 0.38161781430244446, 0.09188400208950043, 0.38161781430244446]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19692937526685553, 0.20165744148998455, 0.1961710147538343, 0.21461279943813627, 0.19062936905118932]","[0.0, 0.14488039910793304, 0.38161781430244446, 0.09188400208950043, 0.38161781430244446]",0.003374219567102353
10,0.961358063760175,"[99.64438980863679, 103.00239733836008, 93.1798468833545, 102.13628403328264, 99.45539210832325]","[100.33214724145199, 101.96386326142469, 91.44679198373997, 101.84466548833598, 97.32143893683927]","[0.0069021189666173405, -0.010082620441579, -0.01859903141699753, -0.002855190471308217, -0.021456384880165727]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.17796652383441267, 0.2014827140707191, 0.21223677583252748, 0.22128019652586356, 0.18703378973647714]","[0.0, 0.0, 1.0, 0.0, 0.0]",-0.019914113392501678
11,0.9499707597432668,"[100.33214724145199, 101.96386326142469, 91.44679198373997, 101.84466548833598, 97.32143893683927]","[100.20061561853417, 103.30796987331708, 91.49211916222467, 103.20527416985509, 96.16866469557259]","[-0.001310961905373011, 0.013182186010804993, 0.0004956672344805398, 0.013359646035412015, -0.011845018465199883]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20432475625121047, 0.20254507925083642, 0.18281078718656307, 0.1957867376612246, 0.21453263965016559]","[0.0, 0.0, 0.0, 0.0, 1.0]",-0.013178878590720979
12,0.9515054133973917,"[100.20061561853417, 103.30796987331708, 91.49211916222467, 103.20527416985509, 96.16866469557259]","[100.3706206826387, 103.47486127691054, 92.50294269230812, 103.97364268043897, 97.49121214649651]","[0.0016966469023677682, 0.0016154746221237403, 0.011048203269739171, 0.00744505081512892, 0.013752374072266888]","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1816882600035104, 0.1951028147457819, 0.19383570477217404, 0.2111555540458505, 0.21821766643268314]","[0.0, 1.0, 0.0, 0.0, 0.0]",0.0004988595608858377
13,0.9559353597153305,"[100.3706206826387, 103.47486127691054, 92.50294269230812, 103.97364268043897, 97.49121214649651]","[101.2018388911894, 103.05983471908347, 92.97261898897355, 105.92240518900063, 98.37266163897274]","[0.008281489173798366, -0.0040108926236336545, 0.005077420058167307, 0.018742851152682434, 0.009041322526093055]","[0.0, 0.13611356914043427, 0.6581935286521912, 0.0, 0.20569287240505219]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20467439684223254, 0.20445429839107584, 0.19970349011932306, 0.20005167563680043, 0.19111613901056804]","[0.0, 0.13611356914043427, 0.6581935286521912, 0.0, 0.20569287240505219]",0.003791973083889133
14,0.9709750493030813,"[101.2018388911894, 103.05983471908347, 92.97261898897355, 105.92240518900063, 98.37266163897274]","[102.79404303675663, 104.45223065361752, 91.91291448780515, 104.20518449398598, 99.28607890016731]","[0.01573295666375341, 0.013510558583073512, -0.011398027856933633, -0.016212062895952523, 0.009285275461457012]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2035014649086092, 0.20107095609056902, 0.18896436328193794, 0.20470422129733723, 0.20175899442154657]","[1.0, 0.0, 0.0, 0.0, 0.0]",0.01479548154003136
15,0.9749763950937428,"[102.79404303675663, 104.45223065361752, 91.91291448780515, 104.20518449398598, 99.28607890016731]","[103.28231458514611, 105.69337658517688, 90.48435165686928, 105.56698991392817, 99.9261192744761]","[0.004749998482060707, 0.011882426289920252, -0.015542569168834413, 0.013068499677391585, 0.006446426139482719]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1842177019846573, 0.20038917866839218, 0.19476523329092896, 0.20579610706274, 0.2148317789932815]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]",0.0036144091575128273
16,0.9682619094388923,"[103.28231458514611, 105.69337658517688, 90.48435165686928, 105.56698991392817, 99.9261192744761]","[104.00450138670737, 104.9654854644635, 91.13951284691153, 105.19354422858436, 99.05381033759417]","[0.006992356866343194, -0.006886818684676826, 0.00724060213777873, -0.0035375232887505034, -0.008729538815430949]","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2042511807662581, 0.19277768340575058, 0.19808831175785838, 0.21278929970348, 0.19209352436665286]","[0.0, 1.0, 0.0, 0.0, 0.0]",-0.007942980013142299
