step,portfolio_value,prev_prices,curr_prices,returns,action,expert_action,sub_expert_action,real_action,reward
316,115585211.59849826,"[0.9113856533429121, -0.3783791730704966, 0.8547025327345278, -0.7943416228646543, 0.6986001309196671]","[0.4269583884932898, 1.5911826407979215, 0.8522629630555759, 0.7036527831959303, -0.6625549253246286]","[-0.5315282976781233, 196956181.3868418, -0.002854290920546043, 149799440.60605845, -1.9484036661321733]","[0.3333333432674408, 0.3333333432674408, 0.0, 0.3333333432674408, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19391987743012393, 0.20148389681296563, 0.21367921077452334, 0.19507124838224552, 0.1958457666001414]","[0.3333333432674408, 0.3333333432674408, 0.0, 0.3333333432674408, 0.0]",18.56551857867052
317,4292548229111292.0,"[0.4269583884932898, 1.5911826407979215, 0.8522629630555759, 0.7036527831959303, -0.6625549253246286]","[1.506254960756734, 0.2778993920818098, 0.16055176076952216, 1.9988997566661961, 0.4515706327592762]","[2.527872976268755, -0.8253504123558982, -0.8116171091209878, 1.840747317998752, 111412555.80839048]","[0.0, 0.0, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20060883857915804, 0.21547871960255272, 0.19052473187160054, 0.18911726878978805, 0.20427044115690066]","[0.0, 0.0, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",17.430138365636033
318,1.0547739479953056e+16,"[1.506254960756734, 0.2778993920818098, 0.16055176076952216, 1.9988997566661961, 0.4515706327592762]","[1.964341800894744, 1.5894507503602777, 1.0816601015278318, 0.7738013488797473, -0.8197140482098881]","[0.3041230416315906, 4.719518630297562, 5.737142566007693, -0.6128863659624891, -2.8152510122305987]","[0.18269124627113342, 0.20250804722309113, 0.21028199791908264, 0.1717805564403534, 0.23273807764053345]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18969504923079286, 0.1962163258180332, 0.21518285863981088, 0.20091424053190074, 0.19799152577946244]","[0.18269126117229462, 0.20250806212425232, 0.21028201282024384, 0.1717805713415146, 0.23273809254169464]",1.011263402753925
319,3.17681342117686e+23,"[1.964341800894744, 1.5894507503602777, 1.0816601015278318, 0.7738013488797473, -0.8197140482098881]","[1.0934905722400863, 1.1758355475816553, 0.4112449965715561, -0.6608534480544017, 0.0838387881221544]","[-0.44332978520234667, -0.2602252398728737, -0.6198020099006356, -1.8540350168827398, 90355283.63320425]","[0.0, 0.0, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20490193513720298, 0.1964704565756664, 0.19842453045522507, 0.2005188347598583, 0.19968424307204727]","[0.0, 0.0, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]",16.43268382467725
320,3.8469463698299913e+31,"[1.0934905722400863, 1.1758355475816553, 0.4112449965715561, -0.6608534480544017, 0.0838387881221544]","[0.43911221128549616, -0.05182510387879624, 1.9382724338443347, 0.5500915550162363, -0.20579866463079322]","[-0.5984307295983848, -1.044075129371097, 3.7131818016102662, 121094500.3070638, -3.4546951266869628]","[0.0, 0.0, 0.0, 1.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2215373351559867, 0.18573840405972117, 0.2004079853815098, 0.18128051289841202, 0.21103576250437042]","[0.0, 0.0, 0.0, 1.0, 0.0]",17.44941360682455
321,2.006547727483064e+39,"[0.43911221128549616, -0.05182510387879624, 1.9382724338443347, 0.5500915550162363, -0.20579866463079322]","[-0.38642796521078226, 1.0835485751180771, 0.1761873412434134, 1.6592808261426715, 0.7452073694602299]","[-1.8800209952702491, 113537367.89968733, -0.9091008373399984, 2.016372112990713, 95100603.4091023]","[0.25, 0.25, 0.25, 0.0, 0.25]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20960829157313002, 0.20277048386798804, 0.1977567858322584, 0.20966247102840768, 0.18020196769821586]","[0.25, 0.25, 0.25, 0.0, 0.25]",16.95940805642281
322,7.338982972737421e+38,"[-0.38642796521078226, 1.0835485751180771, 0.1761873412434134, 1.6592808261426715, 0.7452073694602299]","[0.2853372941914767, 1.299294095562943, -0.3314667977613408, 0.6091585385506499, 1.325057879721932]","[67176525.9402259, 0.19911015103439694, -2.8813315157721773, -0.6328779740276032, 0.7781062480389861]","[0.0, 0.25, 0.25, 0.25, 0.25]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20162493158529785, 0.19587827429639323, 0.18730867648262223, 0.22781023363570047, 0.18737788399998623]","[0.0, 0.25, 0.25, 0.25, 0.25]",-0.7882504978747584
323,7.341017824175186e+45,"[0.2853372941914767, 1.299294095562943, -0.3314667977613408, 0.6091585385506499, 1.325057879721932]","[2.5373339390461043, 2.2718750293057877, 0.0686439748164086, 0.5113354267680144, 2.3144058856730405]","[7.892402047323742, 0.7485456426410189, 40011077.25777494, -0.16058727833871092, 0.7466451247840787]","[0.25, 0.25, 0.25, 0.0, 0.25]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19518301346184191, 0.20029183142752915, 0.20712439774336605, 0.19793302700430204, 0.19946773036296075]","[0.25, 0.25, 0.25, 0.0, 0.25]",15.3716648539802
324,2.4157442452300064e+45,"[2.5373339390461043, 2.2718750293057877, 0.0686439748164086, 0.5113354267680144, 2.3144058856730405]","[0.6503877033604908, -1.2248194131486612, -0.0024103209287391625, 0.6094884386370649, 1.7215167222490066]","[-0.7436728002759463, -1.5391227058483612, -1.0351133647954636, 0.19195425689443027, -0.25617337351854286]","[0.2010696679353714, 0.18480198085308075, 0.20320531725883484, 0.1754988431930542, 0.23542417585849762]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20813277599316343, 0.20465879139721804, 0.19934006475454208, 0.18795597379605, 0.19991239405902633]","[0.2010696679353714, 0.18480198085308075, 0.20320531725883484, 0.1754988431930542, 0.23542417585849762]",-1.3610443006346822
325,1.2504304400521571e+53,"[0.6503877033604908, -1.2248194131486612, -0.0024103209287391625, 0.6094884386370649, 1.7215167222490066]","[2.6898796474474795, 0.32803167345948137, 0.728866397491067, 0.20482793834136104, 0.7453642563334911]","[3.1358095080044257, 155285108.66081423, 73127671.8419806, -0.6639346616657794, -0.5670304873020694]","[0.3333333432674408, 0.3333333432674408, 0.0, 0.3333333432674408, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19696731868636033, 0.1941403325800578, 0.20300963944167935, 0.20279374108825252, 0.20308896820364994]","[0.3333333432674408, 0.3333333432674408, 0.0, 0.3333333432674408, 0.0]",16.89794715087925
326,4.518628356509138e+53,"[2.6898796474474795, 0.32803167345948137, 0.728866397491067, 0.20482793834136104, 0.7453642563334911]","[0.3139851564880284, 2.117053374747752, 1.163872819206639, 1.825295082226714, 0.564963636998245]","[-0.8832716709887076, 5.453807805877171, 0.5968260070884986, 7.911357976882644, -0.2420301453985086]","[0.20459730923175812, 0.18800009787082672, 0.2058827131986618, 0.21382039785385132, 0.18769954144954681]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1802006901314923, 0.20307439549786685, 0.20729817598710876, 0.19590040631926478, 0.21352633206426722]","[0.20459730923175812, 0.18800009787082672, 0.2058827131986618, 0.21382039785385132, 0.18769954144954681]",0.6052266834899855
327,2.1910517106679743e+53,"[0.3139851564880284, 2.117053374747752, 1.163872819206639, 1.825295082226714, 0.564963636998245]","[-0.14671670598722275, 0.12581192791147844, 2.861787521936071, -0.41186777431972166, 0.15198550146822531]","[-1.4672727450821923, -0.940572151173813, 1.4588490036968351, -1.2256444880228767, -0.7309817986237981]","[0.18406260013580322, 0.1813569962978363, 0.21062849462032318, 0.14521324634552002, 0.2787386476993561]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20837721952068147, 0.19449225158667985, 0.19407208727684058, 0.20400574690620002, 0.19905269470959813]","[0.18406260013580322, 0.1813569962978363, 0.21062849462032318, 0.14521324634552002, 0.2787386476993561]",-1.2485378441306536
