step,portfolio_value,prev_prices,curr_prices,returns,action,expert_action,sub_expert_action,real_action,reward
11,0.996467229067598,"[104.09535497312932, 98.69476337544944, 100.39958169986285, 97.83366941735399, 96.48877560663811]","[105.24254756173205, 100.18029992982905, 99.28907081961313, 97.70943433725652, 95.92350521348853]","[0.01102059346354951, 0.015051827509109137, -0.011060911424606433, -0.0012698601701984847, -0.005858405701550849]","[0.0, 0.2840936779975891, 0.18816892802715302, 0.24364370107650757, 0.2840936779975891]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2011029877750995, 0.1888841862831599, 0.21972908487059334, 0.18563402010888672, 0.20464972096226067]","[0.0, 0.2840936779975891, 0.18816892802715302, 0.24364370107650757, 0.2840936779975891]",-0.00019502378494964237
12,0.9978059839204094,"[105.24254756173205, 100.18029992982905, 99.28907081961313, 97.70943433725652, 95.92350521348853]","[103.11637323475105, 100.91073661217006, 100.9877732888091, 98.10693297826936, 97.1889492885434]","[-0.02020261174059714, 0.007291220757500623, 0.017108655113533506, 0.0040681705273291615, 0.01319222094979208]","[0.17438121140003204, 0.46778643131256104, 0.0, 0.35783231258392334, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19682715725237096, 0.20710806501346685, 0.20272423425775976, 0.2059332077322166, 0.18740733574418575]","[0.17438122630119324, 0.4677864611148834, 0.0, 0.3578323423862457, 0.0]",0.000805899387194326
13,1.0100913083345264,"[103.11637323475105, 100.91073661217006, 100.9877732888091, 98.10693297826936, 97.1889492885434]","[103.58330020488377, 101.91404577027046, 100.81147611868343, 96.82167734420213, 98.68960594602041]","[0.004528155476043837, 0.009942541217952084, -0.0017457278676843632, -0.013100558697028171, 0.015440609950640819]","[0.0, 0.445149689912796, 0.0, 0.023853547871112823, 0.5309967398643494]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19898717501378452, 0.2034880258313668, 0.20075582697385225, 0.203863765858395, 0.19290520632260144]","[0.0, 0.445149689912796, 0.0, 0.023853547871112823, 0.5309967398643494]",0.011482205343915773
14,1.022524211196874,"[103.58330020488377, 101.91404577027046, 100.81147611868343, 96.82167734420213, 98.68960594602041]","[105.17410837729389, 101.66215353621486, 101.54462215516781, 98.40515610416912, 101.1598335889556]","[0.01535776683368423, -0.002471614507615623, 0.007272446200681221, 0.016354589213918587, 0.025030271620360138]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.21161668572894046, 0.18086269097942126, 0.19691909774283087, 0.20099386718731868, 0.20960765836148879]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]",0.011850226433265752
15,1.0330676096719058,"[105.17410837729389, 101.66215353621486, 101.54462215516781, 98.40515610416912, 101.1598335889556]","[105.59557550511077, 102.00711103781211, 103.82514769931257, 99.02801122769507, 102.79897295347502]","[0.004007327795021013, 0.003393175233833371, 0.022458358657930076, 0.006329496829074825, 0.01620346046811178]","[0.0, 0.47974610328674316, 0.04050775617361069, 0.0, 0.47974610328674316]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19951829260885454, 0.20370703883921543, 0.19346080071156202, 0.20925313828622472, 0.19406072955414339]","[0.0, 0.47974613308906555, 0.040507759898900986, 0.0, 0.47974613308906555]",0.009435738949778687
16,1.0254027452167291,"[105.59557550511077, 102.00711103781211, 103.82514769931257, 99.02801122769507, 102.79897295347502]","[105.45160809321808, 100.84755887659043, 102.92790563103492, 100.34408971136621, 102.06944579983383]","[-0.0013633848880886194, -0.011367365955417154, -0.008641856892668687, 0.013289961772988407, -0.00709663854298775]","[0.0, 0.0, 0.20895437896251678, 0.0, 0.7910455465316772]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.22384938075912283, 0.1852068588487238, 0.19434465792367894, 0.1985642241655648, 0.19803487830290964]","[0.0, 0.0, 0.20895439386367798, 0.0, 0.791045606136322]",-0.008527125706182925
17,1.0292132980466573,"[105.45160809321808, 100.84755887659043, 102.92790563103492, 100.34408971136621, 102.06944579983383]","[104.42511925684501, 101.9600164532762, 103.04154788699363, 99.6279002390675, 103.5583761977448]","[-0.009734217001846677, 0.0110310808618294, 0.0011040956800003458, -0.007137335884542725, 0.014587425122606093]","[0.35226696729660034, 0.6477330327033997, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.21498627301792955, 0.1953771044675417, 0.19142984400472715, 0.2040913449331447, 0.19411543357665703]","[0.35226696729660034, 0.6477330327033997, 0.0, 0.0, 0.0]",0.0030168521296289885
18,1.0527911876897043,"[104.42511925684501, 101.9600164532762, 103.04154788699363, 99.6279002390675, 103.5583761977448]","[105.41098677439372, 102.66803609419665, 105.14587728605102, 102.46369037276166, 104.0656270574549]","[0.009440903918183354, 0.00694409108147711, 0.020422144680563456, 0.028463815124973906, 0.004898211794490692]","[0.0526651032269001, 0.0, 0.24306374788284302, 0.5939967632293701, 0.11027432978153229]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19280180004593087, 0.20212375706300703, 0.19962638517292428, 0.21085244990842542, 0.1945956078097124]","[0.0526651069521904, 0.0, 0.2430637627840042, 0.5939968228340149, 0.11027433723211288]",0.021804475452116865
19,1.0713125342314513,"[105.41098677439372, 102.66803609419665, 105.14587728605102, 102.46369037276166, 104.0656270574549]","[107.77766390200321, 101.66593776984074, 106.91551717820172, 103.82342526308665, 105.65999563565373]","[0.022451901837090112, -0.009760567772393154, 0.01683033075406631, 0.013270407159631745, 0.015320799223345572]","[0.3392247259616852, 0.0, 0.3392247259616852, 0.321550577878952, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18954558702798352, 0.2016774913977205, 0.20296868024570927, 0.21194429844479293, 0.19386394288379383]","[0.3392247259616852, 0.0, 0.3392247259616852, 0.321550577878952, 0.0]",0.01665252296887815
20,1.078151941899735,"[107.77766390200321, 101.66593776984074, 106.91551717820172, 103.82342526308665, 105.65999563565373]","[108.3698592044382, 100.58220007396645, 107.65887865095371, 103.7430470925848, 107.51598259880194]","[0.005494601395085357, -0.01065979146651596, 0.006952793124621804, -0.0007741814556605925, 0.01756565436126074]","[0.0, 0.032286837697029114, 0.9677131772041321, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19894678854218836, 0.2226902201149384, 0.1951142249678221, 0.19153297377773348, 0.19171579259731766]","[0.0, 0.032286837697029114, 0.9677131772041321, 0.0, 0.0]",0.005190371900991671
