Wall time,Step,Value
1754613877.4714382,0,-0.019958559423685074
1754613880.4748347,10,0.0003086533397436142
1754613881.7506835,20,0.0028964579105377197
1754613883.0007167,30,0.03152837976813316
1754613884.3391573,40,0.03913239762187004
1754613885.6489682,50,0.0404362790286541
1754613887.1049337,60,0.03842172771692276
1754613888.3965497,70,0.038834746927022934
1754613889.8576198,80,0.03825704753398895
1754613891.4958386,90,0.039437949657440186
1754613893.0189178,100,0.03912598267197609
1754613894.4271853,110,0.03871699422597885
1754613895.7880754,120,0.03879830986261368
1754613897.1512733,130,0.03832811117172241
1754613898.4985144,140,0.03845100849866867
1754613899.7462685,150,0.038986627012491226
1754613901.0017054,160,0.038534242659807205
1754613902.2522037,170,0.038658712059259415
1754613903.542043,180,0.03873040899634361
1754613905.0287292,190,0.038904204964637756
1754613906.4646838,200,0.038715969771146774
1754613907.7215335,210,0.038476914167404175
1754613909.1172502,220,0.03877909481525421
1754613910.2967455,230,0.03865485638380051
1754613911.684578,240,0.03827847167849541
1754613912.8526905,250,0.03865866735577583
1754613914.2449982,260,0.038576193153858185
1754613915.5285215,270,0.038684241473674774
1754613916.8165596,280,0.03873208910226822
1754613917.955228,290,0.03832138329744339
1754613919.351272,300,0.03844629228115082
1754613920.7589195,310,0.03874202072620392
1754613921.9111366,320,0.03853335604071617
1754613923.2896125,330,0.03842000290751457
1754613924.6701128,340,0.038510940968990326
1754613925.9882672,350,0.03870120644569397
1754613927.223598,360,0.03848762810230255
1754613928.4703016,370,0.038530200719833374
1754613929.7646227,380,0.03880733251571655
1754613931.0475638,390,0.03844653069972992
1754613932.3761244,400,0.038592852652072906
1754613933.9222016,410,0.038672495633363724
1754613935.2328632,420,0.038386840373277664
1754613936.7323105,430,0.03858314827084541
1754613938.2608085,440,0.038803618401288986
1754613939.566349,450,0.03863224387168884
1754613940.8592808,460,0.03858288750052452
1754613942.1312022,470,0.03840044513344765
1754613943.4068553,480,0.03849903866648674
1754613944.8233724,490,0.03841468691825867
1754613946.3467863,500,0.038721632212400436
1754613948.4642513,510,0.0386238731443882
1754613950.0475695,520,0.03852471336722374
1754613951.4481964,530,0.03856761008501053
1754613952.8953445,540,0.03859895467758179
1754613954.1477563,550,0.03837474063038826
1754613955.8290267,560,0.03853733092546463
1754613957.1635711,570,0.03834521770477295
1754613958.5146263,580,0.0388418585062027
1754613959.9952545,590,0.03869101405143738
1754613961.2913864,600,0.038401223719120026
1754613962.6697202,610,0.03856348246335983
1754613964.0467381,620,0.03855970501899719
1754613965.54231,630,0.03856964781880379
1754613966.9652421,640,0.03839564323425293
1754613968.2521138,650,0.03866070508956909
1754613969.729202,660,0.03868012875318527
1754613971.0438151,670,0.03841711953282356
1754613972.3330188,680,0.03861715644598007
1754613973.4699492,690,0.038499169051647186
1754613974.8777068,700,0.03847029432654381
1754613976.1329079,710,0.03834809735417366
1754613977.3797147,720,0.03842701017856598
1754613978.6611872,730,0.038282301276922226
1754613979.8998742,740,0.03847118467092514
1754613981.1460035,750,0.03843863308429718
1754613982.375082,760,0.038507938385009766
1754613983.6141376,770,0.038454119116067886
1754613984.8293371,780,0.038289088755846024
1754613986.090281,790,0.03845837339758873
1754613987.3626912,800,0.03866870701313019
1754613988.6585488,810,0.03826015070080757
1754613989.9363284,820,0.03841087594628334
1754613991.2106,830,0.03845399245619774
1754613992.4770432,840,0.038375936448574066
1754613993.7840445,850,0.03840157017111778
1754613995.03642,860,0.03856734186410904
1754613996.2999094,870,0.03825089707970619
1754613997.5851781,880,0.03839404881000519
1754613998.8582108,890,0.03860535845160484
1754614000.1195493,900,0.03836033120751381
1754614001.4101183,910,0.03862316906452179
1754614002.6650114,920,0.03852823004126549
1754614003.9535363,930,0.03855027258396149
1754614005.1673758,940,0.0382675863802433
1754614006.2994885,950,0.03846040740609169
1754614007.723462,960,0.0384942851960659
1754614008.9874725,970,0.03857447952032089
1754614010.2608907,980,0.03844696655869484
1754614011.4978452,990,0.038308389484882355
1754614012.7819135,1000,0.038439325988292694
1754614014.0268607,1010,0.03848002105951309
1754614015.298939,1020,0.038318779319524765
1754614016.5547636,1030,0.03841439262032509
1754614017.8603437,1040,0.038383789360523224
1754614019.1597543,1050,0.038490671664476395
1754614020.4568746,1060,0.03838016837835312
1754614021.570578,1070,0.03851659595966339
1754614023.013446,1080,0.03831781819462776
1754614024.2792797,1090,0.03836515173316002
1754614025.582144,1100,0.03831999748945236
1754614026.8430257,1110,0.038371939212083817
1754614028.1626308,1120,0.03830815106630325
1754614029.4634216,1130,0.03857281059026718
1754614030.8000457,1140,0.03832738474011421
1754614032.1537962,1150,0.03858289122581482
1754614033.4796906,1160,0.0384945385158062
1754614034.7766314,1170,0.038135141134262085
1754614035.8936164,1180,0.03850223124027252
