step,portfolio_value,prev_prices,curr_prices,returns,action,expert_action,sub_expert_action,real_action,reward
1,1.0001214070889357,"[0.9978683072129018, 1.007762403286913, 1.0301742219919756, 0.9837775066831178, 1.0032385899478595, 0.9865486103604009, 0.9966340541300789, 0.9987932634364117, 0.9902892167322751, 0.9673856062322185, 1.0288009794791457, 0.9943086691857946, 0.9965324713025475, 0.9905660217733997, 1.028170253686351, 0.9916525661758671, 1.0012024841055298, 0.9903656659395701, 1.0050645977872785, 1.0309941601384869, 0.9982722383017055, 0.9924568820969494, 1.0090357592959909, 1.019936459613586, 0.9959607245455273, 1.0140803712470954, 1.0221465135939276, 1.0179664443940417, 0.9753066015555983, 1.0025774975285886]","[1.0025037894413484, 1.0044537756411314, 0.9911099133664795, 1.0234211798416357, 1.0092152806939405, 0.9979475011417525, 0.982607204928394, 1.0101275427162544, 1.0095343748781387, 0.9918936798621911, 0.9933777676062937, 0.9936782939307919, 0.9887274751817273, 0.999466925419216, 0.9991578825272848, 1.0178597199879624, 1.018090159838951, 1.0019264568084494, 0.9940110092872164, 0.9968045978502549, 1.0005108137254912, 1.006439229233599, 1.0141023960170883, 0.9887183309159103, 1.00763825052202, 0.9859918661189769, 1.0087982955477572, 0.9934985999668235, 0.9932473185029884, 1.0245260499752564]","[0.0025037894413484363, 0.004453775641131363, -0.008890086633520533, 0.02342117984163572, 0.009215280693940509, -0.0020524988582475423, -0.01739279507160596, 0.010127542716254379, 0.009534374878138685, -0.008106320137808876, -0.0066222323937062955, -0.006321706069208122, -0.011272524818272678, -0.0005330745807839987, -0.0008421174727152314, 0.01785971998796243, 0.018090159838950903, 0.0019264568084493838, -0.005988990712783582, -0.003195402149745119, 0.0005108137254912215, 0.006439229233599075, 0.014102396017088292, -0.011281669084089674, 0.007638250522020051, -0.014008133881023066, 0.00879829554775724, -0.006501400033176452, -0.006752681497011581, 0.024526049975256425]","[0.11196785420179367, 0.0, 0.0, 0.0, 0.0, 0.11196785420179367, 0.06880609691143036, 0.0, 0.11196785420179367, 0.0, 0.0, 0.0, 0.11196785420179367, 0.0, 0.11196785420179367, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07424549013376236, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09017794579267502, 0.09496338665485382, 0.11196785420179367]","[0.0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1]","[0.0, 0.09483765387724336, 0.08553126590343901, 0.09715746018871999, 0.07911499307500282, 0.09136583322210633, 0.09584082626432769, 0.10049065779387623, 0.07619130157425816, 0.016905455242131186, 0.0, 0.012079324161371224, 0.007460873041823371, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006443502348966138, 0.011510635818529598, 0.0, 0.007011038898591552, 0.0, 0.0, 0.0, 0.0, 0.007094474305263613, 0.10285806148424238, 0.10810664280010748]","[0.11196785420179367, 0.0, 0.0, 0.0, 0.0, 0.11196785420179367, 0.06880609691143036, 0.0, 0.11196785420179367, 0.0, 0.0, 0.0, 0.11196785420179367, 0.0, 0.11196785420179367, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07424549013376236, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09017794579267502, 0.09496338665485382, 0.11196785420179367]",0.00012144441774745593
2,1.0040202131032703,"[1.0025037894413484, 1.0044537756411314, 0.9911099133664795, 1.0234211798416357, 1.0092152806939405, 0.9979475011417525, 0.982607204928394, 1.0101275427162544, 1.0095343748781387, 0.9918936798621911, 0.9933777676062937, 0.9936782939307919, 0.9887274751817273, 0.999466925419216, 0.9991578825272848, 1.0178597199879624, 1.018090159838951, 1.0019264568084494, 0.9940110092872164, 0.9968045978502549, 1.0005108137254912, 1.006439229233599, 1.0141023960170883, 0.9887183309159103, 1.00763825052202, 0.9859918661189769, 1.0087982955477572, 0.9934985999668235, 0.9932473185029884, 1.0245260499752564]","[1.0101101392228968, 0.9946135921138577, 1.0103873775371446, 0.9830061627566842, 1.0111350405806396, 0.9984393196263232, 0.9679980304124013, 0.9755745579379658, 1.0039336200617235, 0.9824635497972487, 1.018833641470956, 0.9817576515784473, 0.9839817267842542, 0.9984867906344144, 1.0028718474181195, 1.0022907900773472, 0.9819906690383838, 0.9996134321932951, 1.0147655192119052, 1.0037574418239101, 1.008865675090014, 0.9944731724736897, 1.0139885885218851, 0.9982346968322574, 0.9994560782959179, 1.0082797158521055, 1.0102149638275149, 0.9891344182090818, 1.015200871188192, 1.0142320812061105]","[0.01011013922289683, -0.005386407886142308, 0.010387377537144582, -0.016993837243315824, 0.011135040580639632, -0.0015606803736768482, -0.03200196958759871, -0.02442544206203423, 0.003933620061723486, -0.017536450202751297, 0.01883364147095601, -0.0182423484215527, -0.016018273215745782, -0.0015132093655856327, 0.002871847418119522, 0.0022907900773472267, -0.018009330961616166, -0.0003865678067048739, 0.014765519211905165, 0.003757441823910135, 0.008865675090014014, -0.005526827526310285, 0.013988588521885115, -0.0017653031677425934, -0.0005439217040821287, 0.008279715852105518, 0.010214963827514856, -0.010865581790918233, 0.015200871188191911, 0.014232081206110525]","[0.10131583362817764, 0.0, 0.10131583362817764, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10131583362817764, 0.10131583362817764, 0.10131583362817764, 0.0, 0.0, 0.0, 0.0, 0.10131583362817764, 0.10131583362817764, 0.10131583362817764, 0.08815747499465942, 0.0, 0.0, 0.10131583362817764, 0.0]","[0.0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1]","[0.0, 0.09163557749083581, 0.08780071639674278, 0.10060684117542826, 0.09767027906858407, 0.08517025829393866, 0.08786866352410938, 0.09573818555430352, 0.09364944511792414, 0.005829707586327937, 0.01486737235927638, 0.006023211784755451, 0.0, 0.0, 0.007980975078923088, 0.0076475379154652716, 0.00508224593468561, 0.005275121622963051, 0.0017366540657966318, 0.006712038569728767, 0.006813905468381426, 0.0, 0.0, 0.0, 0.0, 0.0061689286582419945, 0.0, 0.0, 0.0822544255041264, 0.1034679088294614]","[0.10131583362817764, 0.0, 0.10131583362817764, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10131583362817764, 0.10131583362817764, 0.10131583362817764, 0.0, 0.0, 0.0, 0.0, 0.10131583362817764, 0.10131583362817764, 0.10131583362817764, 0.08815747499465942, 0.0, 0.0, 0.10131583362817764, 0.0]",0.0038907316552211045
3,1.0071092236598438,"[1.0101101392228968, 0.9946135921138577, 1.0103873775371446, 0.9830061627566842, 1.0111350405806396, 0.9984393196263232, 0.9679980304124013, 0.9755745579379658, 1.0039336200617235, 0.9824635497972487, 1.018833641470956, 0.9817576515784473, 0.9839817267842542, 0.9984867906344144, 1.0028718474181195, 1.0022907900773472, 0.9819906690383838, 0.9996134321932951, 1.0147655192119052, 1.0037574418239101, 1.008865675090014, 0.9944731724736897, 1.0139885885218851, 0.9982346968322574, 0.9994560782959179, 1.0082797158521055, 1.0102149638275149, 0.9891344182090818, 1.015200871188192, 1.0142320812061105]","[0.9960007504130893, 1.0092316588473054, 0.9820405192098874, 0.9916642142411748, 0.9874551597888551, 0.9999447702593389, 1.012770877881178, 0.9905575928870167, 1.022040378943706, 1.0122724911556074, 1.020260087400411, 1.0055310868289211, 0.9989775514518532, 1.0185876587482752, 0.9784581826114415, 1.0038649783700628, 1.019644947818939, 0.9951454143635263, 1.0009725972598953, 0.990704533848185, 0.9929723835792142, 1.0129980269218701, 0.9957476052433144, 1.005606909109086, 1.0034405807275462, 1.010538213580199, 0.9839688083416227, 0.9816439407637826, 1.0070815524470598, 1.0177543789007275]","[-0.003999249586910669, 0.009231658847305368, -0.01795948079011256, -0.00833578575882521, -0.012544840211144881, -5.5229740661078e-05, 0.012770877881177922, -0.009442407112983275, 0.02204037894370603, 0.012272491155607357, 0.020260087400411075, 0.005531086828921117, -0.0010224485481468149, 0.01858765874827517, -0.021541817388558537, 0.0038649783700628326, 0.019644947818939107, -0.004854585636473674, 0.0009725972598952914, -0.00929546615181498, -0.007027616420785754, 0.012998026921870132, -0.004252394756685596, 0.005606909109086011, 0.003440580727546161, 0.010538213580199018, -0.016031191658377297, -0.018356059236217415, 0.007081552447059769, 0.017754378900727508]","[0.10749035328626633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10749035328626633, 0.10749035328626633, 0.0, 0.0, 0.0, 0.10666913539171219, 0.10749035328626633, 0.10749035328626633, 0.0, 0.0, 0.0, 0.08170313388109207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10749035328626633, 0.05919519439339638, 0.10749035328626633]","[-1.1009348636998108e-22, 0.0, -1.0949620797768301e-22, 0.0, 6.377999768169042e-25, 0.0, 1.1081423705854168e-22, 0.0, 0.0, 0.0, -1.0918002607423474e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0942062059839924e-22, 0.0, 0.0, 0.0, 0.0, -1.0999573540430474e-22, 0.0, -1.0934214833629615e-22, -5.489909702590396e-23, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0014573983690225347, 0.0016662817184315874, 0.0, 0.0, 0.009256977190398172, 0.004635210962366165, 0.0, 0.008998131734241369, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009066131738168592, 0.0, 0.0, 0.00524396412806665, 0.0013120610780313565, 0.0, 0.002696824160793736, 0.019801340450560322, 0.015086717443713557, 0.0, 0.008838161263072354, 0.0, 0.003260165396834472, 0.0, 0.9086806343662991]","[0.10749036073684692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10749036073684692, 0.10749036073684692, 0.0, 0.0, 0.0, 0.10666914284229279, 0.10749036073684692, 0.10749036073684692, 0.0, 0.0, 0.0, 0.08170314133167267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10749036073684692, 0.059195198118686676, 0.10749036073684692]",0.0029617036446639546
4,1.0126843904010832,"[0.9960007504130893, 1.0092316588473054, 0.9820405192098874, 0.9916642142411748, 0.9874551597888551, 0.9999447702593389, 1.012770877881178, 0.9905575928870167, 1.022040378943706, 1.0122724911556074, 1.020260087400411, 1.0055310868289211, 0.9989775514518532, 1.0185876587482752, 0.9784581826114415, 1.0038649783700628, 1.019644947818939, 0.9951454143635263, 1.0009725972598953, 0.990704533848185, 0.9929723835792142, 1.0129980269218701, 0.9957476052433144, 1.005606909109086, 1.0034405807275462, 1.010538213580199, 0.9839688083416227, 0.9816439407637826, 1.0070815524470598, 1.0177543789007275]","[1.0027955717830457, 1.0249605190545326, 1.0113055217261764, 1.0121926778732429, 0.9931173704406788, 1.0074703921816703, 0.983659664197536, 1.016735997595315, 0.9954063182487093, 1.0005806768662129, 0.9986053880847305, 0.9862803637835422, 1.002496882283012, 0.9863807186318191, 1.0178927157141864, 1.0075377079241503, 1.005736818807437, 1.0031243581822846, 0.9865939593071245, 1.0187185970309875, 1.0113326765998394, 0.997106344010478, 1.0102376598992335, 1.0141995235395973, 0.9947733611538713, 0.9584312048286933, 1.0024539565283046, 0.9828148401548862, 1.0153471181112959, 1.0366230043308053]","[0.0027955717830456805, 0.02496051905453256, 0.011305521726176382, 0.012192677873242852, -0.006882629559321174, 0.007470392181670338, -0.016340335802463968, 0.016735997595314966, -0.0045936817512907124, 0.0005806768662128814, -0.0013946119152694614, -0.013719636216457776, 0.0024968822830120363, -0.013619281368180913, 0.01789271571418638, 0.007537707924150316, 0.0057368188074369275, 0.0031243581822846256, -0.013406040692875543, 0.01871859703098755, 0.011332676599839386, -0.0028936559895219593, 0.010237659899233531, 0.014199523539597303, -0.005226638846128728, -0.04156879517130674, 0.0024539565283046016, -0.017185159845113818, 0.015347118111295854, 0.03662300433080534]","[0.0, 0.1030016541481018, 0.0, 0.0, 0.0, 0.1030016541481018, 0.08646205067634583, 0.1030016541481018, 0.0, 0.09943587332963943, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10122823715209961, 0.1030016541481018, 0.1030016541481018, 0.0, 0.0, 0.0, 0.0, 0.10078492015600204, 0.0, 0.0, 0.0, 0.09708063304424286, 0.0]","[-8.874010640979013e-22, 0.0, -8.869517454368996e-22, 0.0, 0.0, 0.0, -6.657229976730175e-22, 0.0, -8.321507209792393e-22, 0.0, -8.30629033518128e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -8.873856368751938e-22, 0.0, 0.0, -6.649167765153965e-22, 0.0, -8.863087730347127e-22, 0.0, 0.0, -8.86487493916296e-22, 1.0]","[0.0, 0.0, 0.0, 0.0013007765431372546, 0.0, 0.011932460210070646, 0.0, 0.015451169506491624, 0.0, 0.0, 0.0002432860958425931, 0.0, 0.001789150831420379, 0.0, 0.0, 0.0, 0.0024989595156960074, 0.006885565395920636, 0.0, 0.0083171719392852, 0.00447263916253092, 0.0, 0.007768007957583519, 0.007307000476263281, 0.0, 0.0, 0.005594362460459618, 0.005092232575021154, 0.02272927495081711, 0.89861794237946]","[0.0, 0.1030016615986824, 0.0, 0.0, 0.0, 0.1030016615986824, 0.08646205812692642, 0.1030016615986824, 0.0, 0.09943588078022003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1012282446026802, 0.1030016615986824, 0.1030016615986824, 0.0, 0.0, 0.0, 0.0, 0.10078492760658264, 0.0, 0.0, 0.0, 0.09708064049482346, 0.0]",0.0052568324790588225
5,1.0065825177946233,"[1.0027955717830457, 1.0249605190545326, 1.0113055217261764, 1.0121926778732429, 0.9931173704406788, 1.0074703921816703, 0.983659664197536, 1.016735997595315, 0.9954063182487093, 1.0005806768662129, 0.9986053880847305, 0.9862803637835422, 1.002496882283012, 0.9863807186318191, 1.0178927157141864, 1.0075377079241503, 1.005736818807437, 1.0031243581822846, 0.9865939593071245, 1.0187185970309875, 1.0113326765998394, 0.997106344010478, 1.0102376598992335, 1.0141995235395973, 0.9947733611538713, 0.9584312048286933, 1.0024539565283046, 0.9828148401548862, 1.0153471181112959, 1.0366230043308053]","[0.9825965997218485, 1.0126020737888433, 1.022131876058832, 0.9958975911466817, 0.9925372268489249, 1.0004348919451407, 0.9797364223447673, 0.9864196760556325, 1.030536491394822, 1.0058548283784394, 1.0099100474259648, 0.976843375736752, 0.9927250286131543, 0.9812743506406627, 1.0165795428262234, 0.9980082229841633, 0.9979300215424958, 1.012503369963196, 0.9947043812487618, 0.9869680175554262, 1.004700948389295, 0.9825736165261163, 1.0093005493418858, 1.00156973119677, 1.0016911145231433, 1.0002282043979254, 0.9859618817021363, 1.0199770110774018, 0.9865686642529606, 1.012842508822954]","[-0.01740340027815146, 0.01260207378884326, 0.022131876058832045, -0.004102408853318251, -0.0074627731510751305, 0.00043489194514068075, -0.02026357765523268, -0.013580323944367478, 0.030536491394822063, 0.005854828378439425, 0.009910047425964796, -0.02315662426324805, -0.007274971386845741, -0.018725649359337293, 0.016579542826223426, -0.0019917770158367487, -0.002069978457504229, 0.01250336996319601, -0.005295618751238185, -0.01303198244457382, 0.004700948389295023, -0.0174263834738837, 0.009300549341885844, 0.0015697311967699523, 0.0016911145231433, 0.00022820439792536895, -0.014038118297863722, 0.019977011077401796, -0.013431335747039364, 0.012842508822954013]","[0.14105407893657684, 0.0, 0.08530285954475403, 0.04341450706124306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07609642297029495, 0.0, 0.0, 0.09746848791837692, 0.0, 0.0, 0.14105407893657684, 0.0, 0.049221720546483994, 0.08427970111370087, 0.0, 0.14105407893657684, 0.0, 0.14105407893657684, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, -2.2026736306497096e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.2040217387780987e-22, 0.0, -2.1944084707389355e-22, 0.0, 9.71837802321631e-25, 0.0, 0.0, 0.0, 0.0, 0.0, -2.2043191734206233e-22, 1.0532062717121155e-24, -1.104096442193347e-22, -2.203682384991517e-22, -2.175273408567618e-22, 0.0, 0.0, 0.0, 1.0]","[0.0162389909829147, 0.0, 0.0, 0.0039813789925359465, 0.0, 0.0, 0.0043702646640427925, 0.0, 0.0, 0.009296851872286014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004494090934360349, 0.0, 0.0014301908864166066, 0.0, 0.0, 0.0, 0.01600414967940011, 0.003509878095649038, 0.0, 0.021928163955140578, 0.0, 0.0, 0.003972393051500743, 0.009912939604121462, 0.9048607072816317]","[0.14105407893657684, 0.0, 0.08530285954475403, 0.04341450706124306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07609642297029495, 0.0, 0.0, 0.09746848791837692, 0.0, 0.0, 0.14105407893657684, 0.0, 0.049221720546483994, 0.08427970111370087, 0.0, 0.14105407893657684, 0.0, 0.14105407893657684, 0.0, 0.0, 0.0]",-0.006332045011694208
6,1.0059760890534009,"[0.9825965997218485, 1.0126020737888433, 1.022131876058832, 0.9958975911466817, 0.9925372268489249, 1.0004348919451407, 0.9797364223447673, 0.9864196760556325, 1.030536491394822, 1.0058548283784394, 1.0099100474259648, 0.976843375736752, 0.9927250286131543, 0.9812743506406627, 1.0165795428262234, 0.9980082229841633, 0.9979300215424958, 1.012503369963196, 0.9947043812487618, 0.9869680175554262, 1.004700948389295, 0.9825736165261163, 1.0093005493418858, 1.00156973119677, 1.0016911145231433, 1.0002282043979254, 0.9859618817021363, 1.0199770110774018, 0.9865686642529606, 1.012842508822954]","[1.009597419383409, 1.0155523564476547, 0.9923769957915219, 0.9759776446947118, 0.9938158043303339, 1.002547602874814, 1.0007145473218393, 1.0046781854118851, 1.003188323492232, 0.9804604308855731, 1.0131430117987255, 1.015359383679683, 1.0029280568900927, 1.0202320580538367, 0.9917018416280572, 0.9965993882651212, 1.0114016279107647, 0.9947411805351278, 0.9950965183988555, 1.0072887371589105, 0.9815775738793451, 0.9808693348700182, 1.0056600713542763, 0.9879622502796463, 1.0060792941104557, 0.9999238649732403, 1.0043890925794556, 0.9905095990028927, 0.9698900938965932, 1.0028297012032625]","[0.009597419383408967, 0.015552356447654736, -0.007623004208478057, -0.02402235530528818, -0.006184195669666104, 0.0025476028748139257, 0.0007145473218392873, 0.0046781854118851385, 0.0031883234922320813, -0.01953956911442689, 0.013143011798725457, 0.015359383679683036, 0.0029280568900926784, 0.020232058053836655, -0.00829815837194281, -0.0034006117348788223, 0.011401627910764711, -0.0052588194648721664, -0.00490348160114451, 0.007288737158910541, -0.018422426120654922, -0.01913066512998185, 0.005660071354276264, -0.012037749720353652, 0.006079294110455713, -7.613502675973827e-05, 0.0043890925794556335, -0.009490400997107296, -0.030109906103406803, 0.0028297012032625357]","[0.0, 0.11240962892770767, 0.12293540686368942, 0.07768692076206207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06538733094930649, 0.08461461961269379, 0.0, 0.0, 0.13251762092113495, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13251762092113495, 0.09976356476545334, 0.0, 0.13251762092113495, 0.0, 0.0, 0.0, 0.039649635553359985]","[0.0, 0.0, 1.8525752479249298e-24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0874122541894189e-22, 0.0, 1.0004201742551722e-24, 8.009316541992746e-25, 0.0, -1.0802014832377432e-22, 1.1094984517864415e-22, 0.0, 0.0, 1.4800730145788612e-24, 0.0, -1.089414812356506e-22, 0.0, 0.0, 1.1411153756397368e-22, 0.0, 1.0]","[0.004666423786988145, 0.0, 0.0, 0.00046306554195762724, 0.0, 0.0, 0.0, 0.006740569942989764, 0.0045336764927394226, 0.0, 0.0, 0.0050376459048409195, 0.00015084568635866346, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011178390875512575, 0.0, 0.015239117710153792, 0.0, 0.0, 0.0, 0.011614517002897527, 0.010324567630378353, 0.0, 0.9300511794251832]","[0.0, 0.11240962892770767, 0.12293540686368942, 0.07768692076206207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06538733094930649, 0.08461461961269379, 0.0, 0.0, 0.13251762092113495, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13251762092113495, 0.09976356476545334, 0.0, 0.13251762092113495, 0.0, 0.0, 0.0, 0.039649635553359985]",-0.0007408860235024188
7,1.0033967726477098,"[1.009597419383409, 1.0155523564476547, 0.9923769957915219, 0.9759776446947118, 0.9938158043303339, 1.002547602874814, 1.0007145473218393, 1.0046781854118851, 1.003188323492232, 0.9804604308855731, 1.0131430117987255, 1.015359383679683, 1.0029280568900927, 1.0202320580538367, 0.9917018416280572, 0.9965993882651212, 1.0114016279107647, 0.9947411805351278, 0.9950965183988555, 1.0072887371589105, 0.9815775738793451, 0.9808693348700182, 1.0056600713542763, 0.9879622502796463, 1.0060792941104557, 0.9999238649732403, 1.0043890925794556, 0.9905095990028927, 0.9698900938965932, 1.0028297012032625]","[0.9838875856878568, 1.0043442712000907, 0.9849721088388669, 0.9780262740803246, 1.0159466658008813, 1.0179729133215007, 0.9929700450565903, 1.0114661499712416, 0.9767179520309593, 0.9946836461585065, 1.0021985814346588, 0.9876827641459632, 0.985504578208766, 1.002914868696417, 0.9969783111455541, 1.0082314847584029, 1.0042961802771013, 1.0175621768635614, 1.010060395625499, 1.027543253802721, 1.0335852167666342, 1.0173029268525295, 0.9864824931199508, 1.0045861484111365, 0.9920163494552906, 1.0121637424341956, 0.9711430467574869, 1.0007530553944213, 1.0119062441812983, 1.028557336901553]","[-0.016112414312143164, 0.004344271200090732, -0.015027891161133122, -0.02197372591967539, 0.015946665800881332, 0.01797291332150075, -0.007029954943409744, 0.011466149971241624, -0.023282047969040653, -0.005316353841493537, 0.002198581434658786, -0.012317235854036768, -0.014495421791233976, 0.0029148686964171056, -0.0030216888544458698, 0.008231484758402852, 0.004296180277101325, 0.01756217686356143, 0.010060395625498986, 0.027543253802720935, 0.033585216766634174, 0.017302926852529543, -0.013517506880049157, 0.00458614841113647, -0.007983650544709398, 0.012163742434195601, -0.02885695324251314, 0.0007530553944212759, 0.011906244181298264, 0.028557336901553043]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.08053392916917801, 0.079635389149189, 0.11808115988969803, 0.11808115988969803, 0.0, 0.11808115988969803, 0.0, 0.0, 0.0, 0.11808115988969803, 0.0, 0.06786584854125977, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11808115988969803, 0.0901041030883789, 0.09145485609769821, 0.0]","[-3.3117150053343095e-22, 0.0, 0.0, 0.0, 0.0, -2.2046094204309657e-22, 0.0, 0.0, -1.0845565505954252e-22, 0.0, -2.1909432574026786e-22, -3.302349592461186e-22, 0.0, 0.0, 0.0, 0.0, -1.0943883685424455e-22, 0.0, -3.3058343012621205e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.287472234524106e-22, 0.0, -3.305304995562759e-22, 0.0, 1.0]","[0.0, 0.01853074245461084, 0.0, 0.0, 0.0, 0.009690648214960842, 0.0, 0.0, 0.007942909227905576, 0.003311371175036288, 0.0, 0.0, 0.0, 0.010907515713246156, 0.0048894971045357945, 0.012856149019408852, 0.009722618970889265, 0.0036724878863839674, 0.006525717687863778, 0.0, 0.0, 0.0, 0.0, 0.009576842901336653, 0.0, 0.01521519196244646, 0.0, 0.003001919773104722, 0.0, 0.8841563879082708]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0805339366197586, 0.07963539659976959, 0.11808116734027863, 0.11808116734027863, 0.0, 0.11808116734027863, 0.0, 0.0, 0.0, 0.11808116734027863, 0.0, 0.06786585599184036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11808116734027863, 0.0901041105389595, 0.09145486354827881, 0.0]",-0.002743411172215174
